samplename	original_varname	acc_varname	groupid	count	percentage	notes
AlbaSanchez_a38	Abies pinsapo	Abies pinsapo	TRSH	102	41.463415	GroupID taken from spreadsheet
AlbaSanchez_a38	Eucalyptus	Eucalyptus	TRSH	1	0.40650407	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a38	Olea	Olea europaea	TRSH	26	10.569106	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a38	Pinus pinea/halepensis t.	Pinus halepensis-type	TRSH	49	19.918699	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a38	Pinus pinaster	Pinus pinaster	TRSH	17	6.9105691	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a38	Pinus sylvestris/nigra/uncinata t.	Pinus sylvestris-type	TRSH	16	6.504065	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a38	Quercus evergreen	Quercus ilex-type	TRSH	20	8.1300813	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a38	Quercus deciduous	Quercus robur-type	TRSH	2	0.81300813	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a38	Asteraceae(equinulada)	Asteraceae	HERB	1	0.40650407	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
AlbaSanchez_a38	Plantago coronopus t.	Plantago coronopus-type	HERB	7	2.8455285	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a38	Poaceae undiff.	Poaceae	HERB	4	1.6260163	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
AlbaSanchez_a38	Rumex acetosella t.	Rumex acetosa-type	HERB	1	0.40650407	GroupID taken from POLNET. Only one taxon matched that acc_varname.
AlbaSanchez_a38	Lycopodium (counted)	Lycopodium (counted)	NOPO	25		GroupID taken from spreadsheet
