samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
AlbaSanchez_a89	427	16	85	Quercus evergreen	Quercus ilex-type	TRSH
AlbaSanchez_a89	93	1	93	Rubiaceae	Rubiaceae	HERB
AlbaSanchez_a89	429	9	80	Poaceae undiff.	Poaceae	HERB
AlbaSanchez_a89	436	1	203	Juniperus t.	Juniperus-type	TRSH
AlbaSanchez_a89	57	1	57	Juglans	Juglans	TRSH
AlbaSanchez_a89	442	37	68	Olea	Olea europaea	TRSH
AlbaSanchez_a89	446	1	134	Asteraceae(equinulada)	Asteraceae	HERB
AlbaSanchez_a89	447	1	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
AlbaSanchez_a89	18	3	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
AlbaSanchez_a89	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
AlbaSanchez_a89	6	14	6	Apiaceae	Apiaceae	HERB
AlbaSanchez_a89	555	1	555	Sordaria sp	Sordaria-type	FUNG
AlbaSanchez_a89	559	1	559	Lycopodium (counted)	Lycopodium (counted)	NOPO
AlbaSanchez_a89	426	217	340	Cedrus atlantica	Cedrus	TRSH
AlbaSanchez_a89	433	6	433	Genisteae	Genista-group	TRSH
AlbaSanchez_a89	452	1	30	Plantago coronopus t.	Plantago coronopus-type	HERB
AlbaSanchez_a89	453	1	453	Urtica dioica t.	Urtica dioica-type	HERB
