samplename	original_varname	acc_varname	groupid	count	percentage	notes
Antipina_a3	Abies	Abies	TRSH	1	0.19120459	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Antipina_a3	Betula nana-type	Betula nana-type	DWAR	6	1.1472275	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Betula alba-type	Betula pubescens-type	TRSH	150	28.680688	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Picea	Picea	TRSH	15	2.8680688	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Antipina_a3	Pinus sibirica	Pinus cembra-type	TRSH	2	0.38240918	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Pinus sylvestris	Pinus sylvestris-type	TRSH	334	63.862333	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Salix	Salix	TRSH	2	0.38240918	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Antipina_a3	Artemisia	Artemisia	HERB	1	0.19120459	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Antipina_a3	Asteraceae	Asteraceae	HERB	1	0.19120459	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Antipina_a3	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.19120459	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Plantago	Plantago	HERB	1	0.19120459	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Antipina_a3	Centropyxis	Centropyxis	ALGA	2	0.38240918	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Varia	Indeterminable: unknown	INUN	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Amphitrema	Amphitrema	RHIZ	3		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Bryales	Bryophyte spores	BRYO	4	0.76481836	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Equisetum	Equisetum	VACR	2	0.38240918	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Antipina_a3	Polypodiaceae	Monolete fern spores	VACR	2	0.38240918	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Pteridium aquilinum	Pteridium aquilinum	VACR	1	0.19120459	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Antipina_a3	Sphagnum	Sphagnum	NOPO	18		GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
