samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Antipina_a8	144	48	144	Sphagnum	Sphagnum	BRYO
Antipina_a8	788	371	125	Pinus sylvestris	Pinus sylvestris-type	TRSH
Antipina_a8	33	4	33	Cyperaceae	Cyperaceae	HERB
Antipina_a8	126	32	126	Picea	Picea	TRSH
Antipina_a8	130	7	130	Ericaceae	Ericales (tetrad)	DWAR
Antipina_a8	1236	75	680	Amphitrema	Amphitrema	RHIZ
Antipina_a8	7	10	7	Artemisia	Artemisia	HERB
Antipina_a8	80	2	80	Poaceae	Poaceae	HERB
Antipina_a8	145	2	145	Equisetum	Equisetum	VACR
Antipina_a8	687	5	687	Assulina	Assulina	RHIZ
Antipina_a8	24	2	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Antipina_a8	123	5	123	Larix	Larix/Pseudotsuga	TRSH
Antipina_a8	2107	1	129	Alnus viridis subsp. fruticosa	Alnus viridis	TRSH
Antipina_a8	760	2	155	Alnus glutinosa	Alnus glutinosa-type	TRSH
Antipina_a8	2116	1	2116	Centropyxis	Centropyxis	ALGA
Antipina_a8	146	9	146	Polypodiaceae	Monolete fern spores	VACR
Antipina_a8	147	40	147	Bryales	Bryophyte spores	BRYO
Antipina_a8	560	1	321	Abies	Abies	TRSH
Antipina_a8	1240	83	128	Betula alba-type	Betula pubescens-type	TRSH
Antipina_a8	1361	12	124	Pinus sibirica	Pinus cembra-type	TRSH
Antipina_a8	2105	13	127	Betula nana-type	Betula nana-type	DWAR
