samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Atanassova_e14	5	25	5	Alnus	Alnus	TRSH
Atanassova_e14	7	3	7	Artemisia	Artemisia	HERB
Atanassova_e14	12	356	12	Betula	Betula	TRSH
Atanassova_e14	13	4	13	Brassicaceae	Brassicaceae	HERB
Atanassova_e14	24	20	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Atanassova_e14	57	4	57	Juglans	Juglans	TRSH
Atanassova_e14	192	117	42	Fagus	Fagus	TRSH
Atanassova_e14	201	14	31	Corylus	Corylus	TRSH
Atanassova_e14	563	41	16	Carpinus betulus	Carpinus betulus	TRSH
Atanassova_e14	1035	4	70	Carpinus orientalis/Ostrya	Ostrya/Carpinus orientalis	TRSH
Atanassova_e14	75	420	75	Pinus	Pinus	TRSH
Atanassova_e14	80	6	80	Poaceae	Poaceae	HERB
Atanassova_e14	187	14	187	Tilia	Tilia	TRSH
Atanassova_e14	189	20	189	Quercus	Quercus	TRSH
Atanassova_e14	653	4	653	Verbascum	Verbascum	HERB
Atanassova_e14	725	9	262	Polygonum aviculare	Polygonum aviculare-type	HERB
Atanassova_e14	1040	9	146	Pteridophyta	Monolete fern spores	VACR
Atanassova_e14	1041	21	1041	Scleranthus	Scleranthus	HERB
