samplename	original_varname	acc_varname	groupid	count	percentage
Bakker_a14	Abies cilicica	Abies	TRSH	2	0.49
Bakker_a14	Acer	Acer campestre-type	TRSH	2	0.49
Bakker_a14	Cedrus libani	Cedrus	TRSH	4	0.98
Bakker_a14	Corylus	Corylus	TRSH	1	0.24
Bakker_a14	Fraxinus	Fraxinus	TRSH	2	0.49
Bakker_a14	Juglans regia	Juglans regia	TRSH	2	0.49
Bakker_a14	Pinus	Pinus	TRSH	276	67.32
Bakker_a14	Quercus coccifera	Quercus ilex-type	TRSH	48	11.71
Bakker_a14	Apiaceae	Apiaceae	HERB	7	1.71
Bakker_a14	Artemisia herba-alba-type	Artemisia	HERB	1	0.24
Bakker_a14	Asteroideae	Asteraceae subf. Asteroideae	HERB	4	0.98
Bakker_a14	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	39	9.51
Bakker_a14	Brassicaceae	Brassicaceae	HERB	9	2.2
Bakker_a14	Cerealia	Cerealia-type	HERB	2	0.49
Bakker_a14	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.24
Bakker_a14	Helianthemum	Helianthemum	HERB	1	0.24
Bakker_a14	Poaceae	Poaceae	HERB	9	2.2
Bakker_a14	Unknown	Indeterminable: unknown	INUN	35	
