samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Bakker_a7	6	2	6	Apiaceae	Apiaceae	HERB
Bakker_a7	3572	2	7	Artemisia herba-alba-type	Artemisia	HERB
Bakker_a7	761	2	160	Asteroideae	Asteraceae subf. Asteroideae	HERB
Bakker_a7	22	4	22	Cerealia	Cerealia-type	HERB
Bakker_a7	447	24	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Bakker_a7	3868	60	3868	Cyperaceae	Cyperaceae	AQUA
Bakker_a7	40	4	40	Euphorbia	Euphorbia	HERB
Bakker_a7	1148	2	194	Juglans regia	Juglans regia	TRSH
Bakker_a7	4090	40	4090	Juniperus excelsa/J. oxycedrus	Juniperus oxycedrus-type	TRSH
Bakker_a7	59	12	59	Lamiaceae	Lamiaceae	HERB
Bakker_a7	75	20	75	Pinus	Pinus	TRSH
Bakker_a7	80	8	80	Poaceae	Poaceae	HERB
Bakker_a7	81	2	81	Populus	Populus	TRSH
Bakker_a7	4427	66	85	Quercus coccifera	Quercus ilex-type	TRSH
Bakker_a7	102	2	102	Scabiosa	Scabiosa	HERB
Bakker_a7	176	60	176	Typha	Sparganium-type	AQUA
Bakker_a7	969	10	177	Unknown	Indeterminable: unknown	INUN
Bakker_a7	13	14	13	Brassicaceae	Brassicaceae	HERB
Bakker_a7	24	24	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Bakker_a7	201	2	31	Corylus	Corylus	TRSH
Bakker_a7	3676	2	340	Cedrus libani	Cedrus	TRSH
