samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Bakker_b23	3488	12	321	Abies cilicica	Abies	TRSH
Bakker_b23	589	7	3	Anthemis-type	Matricaria-type	HERB
Bakker_b23	3572	17	7	Artemisia herba-alba-type	Artemisia	HERB
Bakker_b23	1438	2	10	Astragalus-type	Astragalus-type	HERB
Bakker_b23	3640	2	1740	Calendula	Calendula	HERB
Bakker_b23	1381	27	1381	Carduus-type	Carduus-type	HERB
Bakker_b23	3676	22	340	Cedrus libani	Cedrus	TRSH
Bakker_b23	40	3	40	Euphorbia	Euphorbia	HERB
Bakker_b23	498	5	498	Geranium	Geranium	HERB
Bakker_b23	1148	6	194	Juglans regia	Juglans regia	TRSH
Bakker_b23	741	19	25	Lactuceae	Asteraceae subf. Cichorioideae	HERB
Bakker_b23	4106	1	831	Lamium-type	Lamium album-type	HERB
Bakker_b23	4234	8	1645	Onopordum-type	Chardinia/Onopordon	HERB
Bakker_b23	126	2	126	Picea	Picea	TRSH
Bakker_b23	75	627	75	Pinus	Pinus	TRSH
Bakker_b23	80	21	80	Poaceae	Poaceae	HERB
Bakker_b23	4580	1	103	Scrophularia/Verbascum-type	Scrophularia-type	HERB
Bakker_b23	1779	9	132	Silene-type	Silene-type	HERB
Bakker_b23	804	1	176	Sparganium/Typha	Sparganium-type	AQUA
Bakker_b23	4617	1	109	Spergula-type	Spergularia-type	HERB
Bakker_b23	1770	1	1356	Teucrium-type	Teucrium	HERB
Bakker_b23	2402	1	2165	Valerianella	Valerianella	HERB
Bakker_b23	60	1	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Bakker_b23	68	4	68	Olea europaea	Olea europaea	TRSH
Bakker_b23	101	1	101	Sanguisorba minor	Sanguisorba minor-type	HERB
Bakker_b23	1065	52	22	Cerealia-type	Cerealia-type	HERB
Bakker_b23	1290	1	1290	Vicia-type	Lathyrus/Vicia-type	HERB
Bakker_b23	1649	4	13	Brassica	Brassicaceae	HERB
Bakker_b23	1810	6	24	Chenopodiaceae undiff.	Chenopodiaceae/Amaranthaceae	HERB
Bakker_b23	3681	5	29	Centaurea solstitialis-type	Centaurea nigra-type	HERB
Bakker_b23	4428	929	85	Quercus coccifera-type	Quercus ilex-type	TRSH
Bakker_b23	4563	1	102	Scabiosa-type	Scabiosa	HERB
