samplename	original_varname	acc_varname	groupid	count	percentage
Bakker_b31	Abies cilicica	Abies cilicica	TRSH	2	0.058548009
Bakker_b31	Alnus	Alnus	TRSH	1	0.029274005
Bakker_b31	Carya	Carya	TRSH	1	0.029274005
Bakker_b31	Cedrus libani	Cedrus libani	TRSH	10	0.29274005
Bakker_b31	Corylus	Corylus	TRSH	1	0.029274005
Bakker_b31	Daphne	Daphne	DWAR	1	0.029274005
Bakker_b31	Fontanesia/Phillyrea	Fontanesia/Phillyrea	TRSH	11	0.32201405
Bakker_b31	Juniperus	Juniperus communis-type	TRSH	5	0.14637002
Bakker_b31	Olea europaea	Olea europaea	TRSH	11	0.32201405
Bakker_b31	Ostrya-type	Ostrya/Carpinus orientalis	TRSH	2	0.058548009
Bakker_b31	Pinus	Pinus	TRSH	2472	72.36534
Bakker_b31	Pistacia	Pistacia	TRSH	3	0.087822014
Bakker_b31	Platanus orientalis	Platanus	TRSH	136	3.9812646
Bakker_b31	Prunus-type	Prunus-type	TRSH	1	0.029274005
Bakker_b31	Quercus cerris-type	Quercus cerris-type	TRSH	6	0.17564403
Bakker_b31	Quercus coccifera-type	Quercus coccifera-type	TRSH	122	3.5714286
Bakker_b31	Rosa-type	Rosa	TRSH	2	0.058548009
Bakker_b31	Salix	Salix	TRSH	2	0.058548009
Bakker_b31	Thymus/Mentha-type	Thymus/Mentha-type	DWAR	1	0.029274005
Bakker_b31	Vitis vinifera	Vitis vinifera	LIAN	2	0.058548009
Bakker_b31	Artemisia herba-alba-type	Artemisia herba-alba-type	HERB	18	0.52693208
Bakker_b31	Lactuceae	Asteraceae subf. Cichorioideae	HERB	14	0.40983607
Bakker_b31	Ballota	Ballota	HERB	2	0.058548009
Bakker_b31	Brassica	Brassicaceae	HERB	10	0.29274005
Bakker_b31	Capsella-type	Capsella-type	HERB	3	0.087822014
Bakker_b31	Carduus-type	Carduus-type	HERB	1	0.029274005
Bakker_b31	Cerealia-type	Cerealia-type	HERB	1	0.029274005
Bakker_b31	Chenopodiaceae undifferentiated	Chenopodiaceae undifferentiated	HERB	13	0.38056206
Bakker_b31	Cyperaceae	Cyperaceae	HERB	1	0.029274005
Bakker_b31	Daucus-type	Daucus-type	HERB	6	0.17564403
Bakker_b31	Echinophora-type	Echinophora-type	HERB	1	0.029274005
Bakker_b31	Eryngium	Eryngium	HERB	1	0.029274005
Bakker_b31	Euphorbia	Euphorbia	HERB	2	0.058548009
Bakker_b31	Hypericum	Hypericum	HERB	1	0.029274005
Bakker_b31	Anthemis-type	Matricaria-type	HERB	5	0.14637002
Bakker_b31	Medicago-type	Medicago sativa-type	HERB	1	0.029274005
Bakker_b31	Nonea	Nonea	HERB	1	0.029274005
Bakker_b31	Plantago lanceolata	Plantago lanceolata-type	HERB	5	0.14637002
Bakker_b31	Plantago major	Plantago major	HERB	1	0.029274005
Bakker_b31	Poaceae	Poaceae	HERB	525	15.368852
Bakker_b31	Polygonum aviculare-type	Polygonum aviculare-type	HERB	1	0.029274005
Bakker_b31	Ranunculus repens-type	Ranunculus repens-type	HERB	2	0.058548009
Bakker_b31	Sanguisorba minor	Sanguisorba minor-type	HERB	2	0.058548009
Bakker_b31	Scrophularia/Verbascum-type	Scrophularia/Verbascum-type	HERB	1	0.029274005
Bakker_b31	Silene-type	Silene-type	HERB	2	0.058548009
Bakker_b31	Spergula-type	Spergula-type	HERB	2	0.058548009
Bakker_b31	Urtica	Urtica	HERB	1	0.029274005
Bakker_b31	Xanthium	Xanthium	HERB	1	0.029274005
Bakker_b31	Sparganium/Typha	Sparganium-type	AQUA	2	0.058548009
