	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Bakker_b47	3046	1	3046	Abies cilicica	Abies cilicica	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.095057034
1	Bakker_b47	3240	9	3240	Cedrus libani	Cedrus libani	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.85551331
2	Bakker_b47	9	2	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.19011407
3	Bakker_b47	3418	1	3418	Crataegus-type	Crataegus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.095057034
4	Bakker_b47	62	1	62	Daphne	Daphne	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.095057034
5	Bakker_b47	3531	3	3531	Fontanesia/Phillyrea	Fontanesia/Phillyrea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.2851711
6	Bakker_b47	74	1	74	Fraxinus angustifolia	Fraxinus angustifolia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.095057034
7	Bakker_b47	1158	5	211	Juglans regia	Juglans regia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.47528517
8	Bakker_b47	85	1	85	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.095057034
9	Bakker_b47	95	11	95	Olea europaea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	1.0456274
10	Bakker_b47	19	527	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	50.095057
11	Bakker_b47	103	2	103	Pistacia	Pistacia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.19011407
12	Bakker_b47	216	2	104	Platanus orientalis	Platanus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.19011407
13	Bakker_b47	1061	5	110	Quercus cerris-type	Quercus cerris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.47528517
14	Bakker_b47	3981	67	3981	Quercus coccifera-type	Quercus coccifera-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	6.3688213
15	Bakker_b47	25	1	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	1052	0.095057034
16	Bakker_b47	3134	190	3134	Artemisia herba-alba-type	Artemisia herba-alba-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	18.060837
17	Bakker_b47	752	3	53	Lactuceae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.2851711
18	Bakker_b47	3168	3	3168	Ballota	Ballota	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.2851711
19	Bakker_b47	3188	1	3188	Boraginaceae undifferentiated	Boraginaceae undifferentiated	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.095057034
20	Bakker_b47	1658	5	42	Brassica	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.47528517
21	Bakker_b47	2301	1	475	Centaurea cyanus-type	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.095057034
22	Bakker_b47	3245	1	3245	Centaurea solstitialis-type	Centaurea solstitialis-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.095057034
23	Bakker_b47	1075	36	50	Cerealia-type	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	3.4220532
24	Bakker_b47	3348	7	3348	Chenopodiaceae undifferentiated	Chenopodiaceae undifferentiated	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.66539924
25	Bakker_b47	61	5	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.47528517
26	Bakker_b47	3443	4	3443	Daucus-type	Daucus-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.38022814
27	Bakker_b47	3449	3	3449	Digitalis-type	Digitalis-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.2851711
28	Bakker_b47	68	3	68	Euphorbia	Euphorbia	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.2851711
29	Bakker_b47	3548	4	3548	Galium-type	Galium-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.38022814
30	Bakker_b47	82	1	82	Hypericum	Hypericum	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.095057034
31	Bakker_b47	600	2	34	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.19011407
32	Bakker_b47	96	1	96	Orlaya	Orlaya	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.095057034
33	Bakker_b47	98	1	98	Papaver	Papaver	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.095057034
34	Bakker_b47	106	139	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	1052	13.212928
35	Bakker_b47	1088	1	278	Polygonum aviculare-type	Polygonum aviculare-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.095057034
36	Bakker_b47	2814	1	130	Sedum-type	Sedum-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.095057034
37	Bakker_b47	1788	1	153	Silene-type	Silene-type	HERB	Herbs	HERB	True	True	Herbs	5	1052	0.095057034
38	Bakker_b47	815	1	196	Sparganium/Typha	Sparganium-type	AQUA	Aquatics	AQUA	False	True	Aquatics	7	1052	0.095057034
39	Bakker_b47	1297	1	433	Typha latifolia	Typha latifolia	HELO	Helophytes	AQUA	False	True	Aquatics	7	1052	0.095057034
40	Bakker_b47	3631	2	197	Indeterminable: unknown	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	1052	
