samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Barboni_a656	5	9	5	Alnus	Alnus	TRSH
Barboni_a656	588	1	588	Anemone	Anemone nemorosa-type	HERB
Barboni_a656	3557	2	1691	Aquilegia-type	Aquilegia	HERB
Barboni_a656	3572	37	7	Artemisia herba-alba-type	Artemisia	HERB
Barboni_a656	3573	3	7	Artemisia vulgaris-type	Artemisia	HERB
Barboni_a656	1438	6	10	Astragalus-type	Astragalus-type	HERB
Barboni_a656	3631	1	13	Brassica-type	Brassicaceae	HERB
Barboni_a656	3658	3	13	Capsella-type	Brassicaceae	HERB
Barboni_a656	18	4	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Barboni_a656	2292	1	462	Centaurea cyanus-type	Centaurea cyanus-type	HERB
Barboni_a656	3681	3	29	Centaurea solstitialis-type	Centaurea nigra-type	HERB
Barboni_a656	3795	2	134	Cirsium/Gundelia	Asteraceae	HERB
Barboni_a656	3822	115	160	Compositae subf. Asteroideae	Asteraceae subf. Asteroideae	HERB
Barboni_a656	3824	74	25	Compositae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Barboni_a656	3868	2	3868	Cyperaceae	Cyperaceae	AQUA
Barboni_a656	1439	1	1439	Echinops	Echinops	HERB
Barboni_a656	2424	1	36	Ephedra fragilis-type	Ephedra fragilis-type	TRSH
Barboni_a656	40	2	40	Euphorbia	Euphorbia	HERB
Barboni_a656	3967	3	2318	Filago-type	Gnaphalium-type	HERB
Barboni_a656	605	2	93	Galium-type	Rubiaceae	HERB
Barboni_a656	1601	58	80	Gramineae	Poaceae	HERB
Barboni_a656	52	1	52	Helianthemum	Helianthemum	HERB
Barboni_a656	4078	70	177	Indeterminable: unknown	Indeterminable: unknown	INUN
Barboni_a656	57	1	57	Juglans	Juglans	TRSH
Barboni_a656	58	1	58	Juniperus	Juniperus communis-type	TRSH
Barboni_a656	1072	11	3	Matricaria-type	Matricaria-type	HERB
Barboni_a656	4221	1	24	Noaea-type	Chenopodiaceae/Amaranthaceae	HERB
Barboni_a656	442	10	68	Olea	Olea europaea	TRSH
Barboni_a656	71	3	71	Papaver	Papaver	HERB
Barboni_a656	4295	8	595	Pimpinella-type	Pimpinella major-type	HERB
Barboni_a656	75	23	75	Pinus	Pinus	TRSH
Barboni_a656	1075	3	60	Plantago lanceolata-type	Plantago lanceolata-type	HERB
Barboni_a656	1916	1	166	Plumbaginaceae	Plumbaginaceae	HERB
Barboni_a656	1051	1	84	Quercus cerris-type	Quercus cerris-type	TRSH
Barboni_a656	2173	20	189	Quercus undiff.	Quercus	TRSH
Barboni_a656	4454	1	4440	Ranunculus sceleratus-type	Ranunculus sceleratus-type	HERB
Barboni_a656	92	1	92	Rosaceae	Rosaceae	TRSH
Barboni_a656	634	1	95	Rumex acetosa-type	Rumex acetosa-type	HERB
Barboni_a656	99	1	99	Salix	Salix	TRSH
Barboni_a656	101	7	101	Sanguisorba minor	Sanguisorba minor-type	HERB
Barboni_a656	4548	29	592	Sanicula-type	Astrantia-type	HERB
Barboni_a656	4562	3	102	Scabiosa undiff.	Scabiosa	HERB
Barboni_a656	1405	338	244	Stachys-type	Galeopsis-type	HERB
Barboni_a656	112	1	112	Thalictrum	Thalictrum	HERB
Barboni_a656	1284	2	115	Trifolium-type	Trifolium-type	HERB
Barboni_a656	590	4	6	Umbelliferae	Apiaceae	HERB
Barboni_a656	4756	1	4756	Vitis	Vitis	LIAN
Barboni_a656	24	3	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Barboni_a656	78	1	78	Platanus	Platanus	TRSH
Barboni_a656	1065	18	22	Cerealia-type	Cerealia-type	HERB
Barboni_a656	4329	3	64	Plantago ovata-type	Plantago maritima-type	HERB
