samplename	original_varname	acc_varname	groupid	count	percentage
Barboni_a971	Calluna	Calluna vulgaris	DWAR	2	0.27777778
Barboni_a971	Erica lusitanica-type	Erica arborea-type	TRSH	12	1.6666667
Barboni_a971	Eucalyptus	Eucalyptus	TRSH	8	1.1111111
Barboni_a971	Juniperus	Juniperus communis-type	TRSH	11	1.5277778
Barboni_a971	Phillyrea	Phillyrea	TRSH	52	7.2222222
Barboni_a971	Pinus	Pinus	TRSH	53	7.3611111
Barboni_a971	Quercus suber	Quercus cerris-type	TRSH	47	6.5277778
Barboni_a971	Quercus ilex	Quercus ilex-type	TRSH	15	2.0833333
Barboni_a971	Salix	Salix	TRSH	1	0.13888889
Barboni_a971	Ulmus	Ulmus/Zelkova	TRSH	1	0.13888889
Barboni_a971	Umbelliferae	Apiaceae	HERB	4	0.55555556
Barboni_a971	Artemisia	Artemisia	HERB	4	0.55555556
Barboni_a971	Liguliflorae	Asteraceae subf. Cichorioideae	HERB	7	0.97222222
Barboni_a971	Cruciferae	Brassicaceae	HERB	2	0.27777778
Barboni_a971	Gramineae 40-50 _m	Cerealia-type	HERB	5	0.69444444
Barboni_a971	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	17	2.3611111
Barboni_a971	Lythrum	Lythrum	HERB	6	0.83333333
Barboni_a971	Anthemis	Matricaria-type	HERB	8	1.1111111
Barboni_a971	Plantago coronopus	Plantago coronopus-type	HERB	6	0.83333333
Barboni_a971	Plantago lusitanica	Plantago lanceolata-type	HERB	5	0.69444444
Barboni_a971	Plantago major/P. media	Plantago major/P. media-type	HERB	1	0.13888889
Barboni_a971	Gramineae <40 _m	Poaceae	HERB	285	39.583333
Barboni_a971	Galium	Rubiaceae	HERB	12	1.6666667
Barboni_a971	Rumex-type	Rumex/Oxyria	HERB	21	2.9166667
Barboni_a971	Filicales	Monolete fern spores	VACR	135	18.75
Barboni_a971	Cyperaceae	Cyperaceae	AQUA	610	84.722222
Barboni_a971	Isoetes echinospora	Isoetes echinospora	AQPT	1	0.13888889
Barboni_a971	Myriophyllum alterniflorum	Myriophyllum alterniflorum	AQUA	3	0.41666667
Barboni_a971	Nymphaea	Nymphaea	AQUA	186	25.833333
Barboni_a971	Potamogeton	Potamogeton-type	AQUA	775	107.63889
Barboni_a971	Sparganium	Potamogeton-type	AQUA	17	2.3611111
