	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Beaudouin_a5	2	1	2	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.26809651
1	Beaudouin_a5	4	3	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.80428954
2	Beaudouin_a5	5	1	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.26809651
3	Beaudouin_a5	1125	1	207	Buxus sempervirens	Buxus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.26809651
4	Beaudouin_a5	9	1	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.26809651
5	Beaudouin_a5	725	25	363	Cupressaceae	Cupressaceae undiff.	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	6.7024129
6	Beaudouin_a5	11	1	11	Ericaceae	Ericales (tetrad)	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.26809651
7	Beaudouin_a5	12	2	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.53619303
8	Beaudouin_a5	13	1	13	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.26809651
9	Beaudouin_a5	837	3	492	Hippophae rhamnoides	Hippophae rhamnoides	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.80428954
10	Beaudouin_a5	455	1	95	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.26809651
11	Beaudouin_a5	101	1	101	Phillyrea	Phillyrea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.26809651
12	Beaudouin_a5	18	3	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.80428954
13	Beaudouin_a5	19	249	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	66.756032
14	Beaudouin_a5	104	8	104	Platanus	Platanus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	2.1447721
15	Beaudouin_a5	107	1	107	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	0.26809651
16	Beaudouin_a5	1062	5	22	Quercus ilex-type	Quercus ilex-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	1.3404826
17	Beaudouin_a5	21	18	21	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	4.8257373
18	Beaudouin_a5	25	5	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	373	1.3404826
19	Beaudouin_a5	3086	5	3086	Amaranthaceae/Chenopodiaceae	Amaranthaceae/Chenopodiaceae	HERB	Herbs	HERB	True	True	Herbs	5	373	1.3404826
20	Beaudouin_a5	37	2	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	373	0.53619303
21	Beaudouin_a5	772	1	180	Asteroideae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	373	0.26809651
22	Beaudouin_a5	460	2	53	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	373	0.53619303
23	Beaudouin_a5	42	9	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	373	2.4128686
24	Beaudouin_a5	61	4	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	373	1.0723861
25	Beaudouin_a5	69	1	69	Fabaceae	Fabaceae	HERB	Herbs	HERB	True	True	Herbs	5	373	0.26809651
26	Beaudouin_a5	735	1	286	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	373	0.26809651
27	Beaudouin_a5	106	9	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	373	2.4128686
28	Beaudouin_a5	137	2	137	Thalictrum	Thalictrum	HERB	Herbs	HERB	True	True	Herbs	5	373	0.53619303
29	Beaudouin_a5	663	7	663	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	373	1.8766756
30	Beaudouin_a5	133	2	133	Sparganium	Potamogeton-type	AQUA	Aquatics	AQUA	False	True	Aquatics	7	373	0.53619303
31	Beaudouin_a5	3286	1	3286	cf. Hamamelidaceae	cf. Hamamelidaceae	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	373	
