samplename	original_varname	acc_varname	groupid	count	percentage
Binney2017_E3233	Alnus	Alnus	TRSH	66	6.35
Binney2017_E3233	Betula	Betula	TRSH	36	3.46
Binney2017_E3233	Betula nana-type	Betula nana-type	TRSH	72	6.92
Binney2017_E3233	Ericales	Ericales (tetrad)	DWAR	40	3.85
Binney2017_E3233	Pinus pumila	Pinus cembra-type	TRSH	86	8.27
Binney2017_E3233	Salix	Salix	TRSH	250	24.04
Binney2017_E3233	Artemisia	Artemisia	HERB	116	11.15
Binney2017_E3233	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	112	10.77
Binney2017_E3233	Cyperaceae	Cyperaceae	HERB	106	10.19
Binney2017_E3233	Poaceae	Poaceae	HERB	36	3.46
Binney2017_E3233	Polypodiales	Monolete fern spores	VACR	23	2.21
Binney2017_E3233	Selaginellaceae	Selaginella	VACR	23	2.21
Binney2017_E3233	Sphagnales	Sphagnum	BRYO	74	7.12
