samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Binney2017_E3543	6	1	6	Apiaceae	Apiaceae	HERB
Binney2017_E3543	7	3	7	Artemisia	Artemisia	HERB
Binney2017_E3543	12	232	12	Betula	Betula	TRSH
Binney2017_E3543	18	1	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Binney2017_E3543	33	2	33	Cyperaceae	Cyperaceae	HERB
Binney2017_E3543	59	1	59	Lamiaceae	Lamiaceae	HERB
Binney2017_E3543	75	49	75	Pinus	Pinus	TRSH
Binney2017_E3543	80	4	80	Poaceae	Poaceae	HERB
Binney2017_E3543	126	3	126	Picea	Picea	TRSH
Binney2017_E3543	134	4	134	Asteraceae	Asteraceae	HERB
Binney2017_E3543	135	1	135	Ranunculaceae	Ranunculaceae	HERB
Binney2017_E3543	1241	23	147	Bryophyta	Bryophyte spores	BRYO
Binney2017_E3543	2120	3	130	Ericales	Ericales (tetrad)	DWAR
Binney2017_E3543	5215	32	5215	Larix dahurica	Larix dahurica	TRSH
Binney2017_E3543	1475	2	93	Galium	Rubiaceae	HERB
