samplename	original_varname	acc_varname	groupid	count	percentage
Bjune_a122	Alnus	Alnus	TRSH	22	3.9355993
Bjune_a122	Betula	Betula	TRSH	91	16.27907
Bjune_a122	Betula/Corylus/Myrica	Betula/Corylus/Myrica	TRSH	4	0.71556351
Bjune_a122	Calluna vulgaris	Calluna vulgaris	TRSH	26	4.6511628
Bjune_a122	Corylus avellana	Corylus	TRSH	1	0.17889088
Bjune_a122	Corylus/Myrica	Corylus/Myrica	TRSH	13	2.3255814
Bjune_a122	Ericaceae-type	Ericaceae-type	DWAR	3	0.53667263
Bjune_a122	Fagus sylvatica	Fagus	TRSH	1	0.17889088
Bjune_a122	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	1	0.17889088
Bjune_a122	Juniperus communis	Juniperus communis-type	TRSH	14	2.5044723
Bjune_a122	Myrica gale	Myrica	TRSH	15	2.6833631
Bjune_a122	Picea	Picea	TRSH	19	3.3989267
Bjune_a122	Pinus sylvestris	Pinus sylvestris-type	TRSH	272	48.658318
Bjune_a122	Quercus	Quercus	TRSH	12	2.1466905
Bjune_a122	Salix undifferentiated	Salix undifferentiated	TRSH	1	0.17889088
Bjune_a122	Ulmus	Ulmus/Zelkova	TRSH	1	0.17889088
Bjune_a122	Artemisia	Artemisia	HERB	1	0.17889088
Bjune_a122	Filipendula	Filipendula	HERB	1	0.17889088
Bjune_a122	Gramineae undifferentiated	Gramineae undifferentiated	HERB	33	5.9033989
Bjune_a122	Melampyrum	Melampyrum	HERB	3	0.53667263
Bjune_a122	Narthecium ossifragum	Narthecium ossifragum	HERB	3	0.53667263
Bjune_a122	Rumex acetosa-type/R. acetosella-type	Rumex acetosa-type/R. acetosella-type	HERB	2	0.35778175
Bjune_a122	Rumex acetosella-type	Rumex acetosella	HERB	4	0.71556351
Bjune_a122	Urtica	Urtica	HERB	6	1.0733453
Bjune_a122	Dryopteris-type	Dryopteris-type	VACR	7	1.2522361
Bjune_a122	Gymnocarpium dryopteris	Gymnocarpium dryopteris	VACR	1	0.17889088
Bjune_a122	Pteridium aquilinum	Pteridium aquilinum	VACR	2	0.35778175
Bjune_a122	Botryococcus	Botryococcus	ALGA	19	3.3989267
Bjune_a122	Carex-type	Carex-type	AQUA	10	1.7889088
Bjune_a122	Cyperaceae undifferentiated	Cyperaceae undifferentiated	AQUA	4	0.71556351
Bjune_a122	Isoetes echinospora	Isoetes echinospora	AQPT	4	0.71556351
Bjune_a122	Isoetes lacustris	Isoetes lacustris	AQPT	62	11.091234
Bjune_a122	Nuphar	Nuphar	AQUA	1	0.17889088
Bjune_a122	Scirpus lacustris-type	Scirpus lacustris-type	AQUA	1	0.17889088
Bjune_a122	Indeterminable: broken	Indeterminable: broken	INUN	1	
Bjune_a122	Indeterminable: corroded	Indeterminable: corroded	INUN	3	
Bjune_a122	Indeterminable: crumpled	Indeterminable: crumpled	INUN	1	
Bjune_a122	Unknown	Indeterminable: unknown	INUN	1	
Bjune_a122	Sphagnum	Sphagnum	NOPO	33	
