samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Bjune_a276	5	27	5	Alnus	Alnus	TRSH
Bjune_a276	7	3	7	Artemisia	Artemisia	HERB
Bjune_a276	3646	1	3645	Calluna vulgaris	Calluna vulgaris	DWAR
Bjune_a276	3665	13	3663	Carex-type	Carex	AQUA
Bjune_a276	946	1	18	Caryophyllaceae undiff.	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Bjune_a276	2554	2	21	Cerastium cerastioides-type	Cerastium-type	HERB
Bjune_a276	31	1	31	Corylus avellana	Corylus	TRSH
Bjune_a276	1607	2	553	Cryptogramma crispa	Cryptogramma crispa	VACR
Bjune_a276	3873	4	3868	Cyperaceae undiff.	Cyperaceae	AQUA
Bjune_a276	3894	10	182	Diphasiastrum	Lycopodium clavatum-type	VACR
Bjune_a276	1247	197	772	Dryopteris-type	Dryopteris-type	VACR
Bjune_a276	4018	85	80	Gramineae undiff.	Poaceae	HERB
Bjune_a276	2121	10	1320	Gymnocarpium dryopteris	Gymnocarpium dryopteris	VACR
Bjune_a276	4072	2	998	Indeterminable: broken	Indeterminable: broken	INUN
Bjune_a276	4074	11	1324	Indeterminable: corroded	Indeterminable: corroded	INUN
Bjune_a276	4075	4	1925	Indeterminable: crumpled	Indeterminable: crumpled	INUN
Bjune_a276	718	1	718	Indeterminable: degraded	Indeterminable: degraded	INUN
Bjune_a276	4164	1	143	Lycopodium undiff.	Lycopodium	VACR
Bjune_a276	4227	2	4227	Nymphaeaceae: star cell	Nymphaeaceae: star cell	NOPO
Bjune_a276	126	1	126	Picea	Picea	TRSH
Bjune_a276	788	105	125	Pinus sylvestris	Pinus sylvestris-type	TRSH
Bjune_a276	60	1	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Bjune_a276	4372	1	389	Polygonum viviparum/P. bistorta	Polygonum bistorta-type	HERB
Bjune_a276	630	6	87	Ranunculus acris-type	Ranunculus acris-type	HERB
Bjune_a276	95	7	95	Rumex acetosa	Rumex acetosa-type	HERB
Bjune_a276	4504	4	95	Rumex acetosa-type/R. acetosella-type	Rumex acetosa-type	HERB
Bjune_a276	1400	25	99	Salix undiff.	Salix	TRSH
Bjune_a276	105	4	105	Sedum	Sedum-type	HERB
Bjune_a276	2428	2	133	Solidago-type	Senecio-type	HERB
Bjune_a276	154	1	154	Ulmus	Ulmus/Zelkova	TRSH
Bjune_a276	652	1	652	Urtica	Urtica	HERB
Bjune_a276	654	1	224	Veronica-type	Veronica-type	HERB
Bjune_a276	12	79	12	Betula	Betula	TRSH
Bjune_a276	180	3	180	Pteridium aquilinum	Pteridium aquilinum	VACR
Bjune_a276	941	18	58	Juniperus communis	Juniperus communis-type	TRSH
Bjune_a276	964	3	184	Huperzia selago	Huperzia selago	VACR
Bjune_a276	3944	7	130	Ericaceae-type	Ericales (tetrad)	DWAR
Bjune_a276	3947	2	3946	Eriophorum-type	Eriophorum-type	AQUA
Bjune_a276	4384	1	912	Potamogeton sect. Eupotamogeton	Potamogeton natans-type	AQUA
Bjune_a276	4530	6	99	Salix herbacea-type	Salix	TRSH
Bjune_a276	4730	2	4730	Vaccinium-type	Vaccinium-type	DWAR
Bjune_a276	2112	1	172	Rubus chamaemorus	Rubus chamaemorus	HERB
