	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Bjune_a73	4	13	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560	2.3214286
1	Bjune_a73	5	48	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560	8.5714286
2	Bjune_a73	3182	1	3182	Betula/Corylus/Myrica	Betula/Corylus/Myrica	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560	0.17857143
3	Bjune_a73	470	6	470	Calluna vulgaris	Calluna vulgaris	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560	1.0714286
4	Bjune_a73	950	5	750	Empetrum nigrum	Empetrum nigrum	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	560	0.89285714
5	Bjune_a73	3498	7	3498	Ericaceae-type	Ericaceae-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	560	1.25
6	Bjune_a73	952	11	85	Juniperus communis	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560	1.9642857
7	Bjune_a73	18	4	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560	0.71428571
8	Bjune_a73	799	77	148	Pinus sylvestris	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560	13.75
9	Bjune_a73	208	1	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560	0.17857143
10	Bjune_a73	4045	1	4045	Rosaceae undifferentiated	Rosaceae undifferentiated	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560	0.17857143
11	Bjune_a73	4088	37	4088	Salix undifferentiated	Salix undifferentiated	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	560	6.6071429
12	Bjune_a73	953	4	953	Vaccinium-type	Vaccinium-type	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	560	0.71428571
13	Bjune_a73	3102	1	3102	Angelica-type	Angelica-type	HERB	Herbs	HERB	True	True	Herbs	5	560	0.17857143
14	Bjune_a73	2560	1	49	Cerastium cerastioides-type	Cerastium-type	HERB	Herbs	HERB	True	True	Herbs	5	560	0.17857143
15	Bjune_a73	3383	4	3383	Compositae subfam. Cichorioideae	Compositae subfam. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	560	0.71428571
16	Bjune_a73	73	1	73	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	560	0.17857143
17	Bjune_a73	3559	1	3559	Geranium sylvaticum-type	Geranium sylvaticum-type	HERB	Herbs	HERB	True	True	Herbs	5	560	0.17857143
18	Bjune_a73	3573	138	3573	Gramineae undifferentiated	Gramineae undifferentiated	HERB	Herbs	HERB	True	True	Herbs	5	560	24.642857
