samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Blyakharchuk_a12	788	6	125	Pinus sylvestris	Pinus sylvestris-type	TRSH
Blyakharchuk_a12	1361	58	124	Pinus sibirica	Pinus cembra-type	TRSH
Blyakharchuk_a12	2131	1	123	Larix sibirica	Larix/Pseudotsuga	TRSH
Blyakharchuk_a12	99	2	99	Salix	Salix	TRSH
Blyakharchuk_a12	937	2	128	Betula pubescens	Betula pubescens-type	TRSH
Blyakharchuk_a12	1363	11	127	Betula nana	Betula nana-type	DWAR
Blyakharchuk_a12	2134	1	1108	Spirea type	Aruncus/Spiraea	HERB
Blyakharchuk_a12	7	83	7	Artemisia	Artemisia	HERB
Blyakharchuk_a12	2141	1	18	Caryophillaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Blyakharchuk_a12	24	4	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Blyakharchuk_a12	33	24	33	Cyperaceae	Cyperaceae	HERB
Blyakharchuk_a12	80	129	80	Poaceae	Poaceae	HERB
Blyakharchuk_a12	1737	1	36	Ephedra fragilis	Ephedra fragilis-type	TRSH
Blyakharchuk_a12	59	1	59	Lamiaceae	Lamiaceae	HERB
Blyakharchuk_a12	1366	2	512	Potentilla	Potentilla-type	HERB
Blyakharchuk_a12	1572	4	258	Hordeum	Hordeum-type	HERB
Blyakharchuk_a12	112	1	112	Thalictrum	Thalictrum	HERB
Blyakharchuk_a12	135	1	135	Ranunculaceae	Ranunculaceae	HERB
Blyakharchuk_a12	753	2	753	Pedicularis	Pedicularis	HERB
Blyakharchuk_a12	2164	1	6	Umbellifera	Apiaceae	HERB
Blyakharchuk_a12	92	12	92	Rosaceae	Rosaceae	TRSH
Blyakharchuk_a12	147	8	147	Bryales	Bryophyte spores	BRYO
Blyakharchuk_a12	2168	1	1549	Lycopodium clavat	Lycopodium clavatum	VACR
Blyakharchuk_a12	2123	1	2123	Dryas	Dryas octopetala	HERB
Blyakharchuk_a12	2147	2	54	Hipericum type	Hypericum	HERB
