samplename	original_varname	acc_varname	groupid	count	percentage	notes
Blyakharchuk_a33	Abies sibirica	Abies sibirica	TRSH	9	2.6865672	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Betula nana	Betula nana-type	DWAR	14	4.1791045	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Betula pendula	Betula pubescens-type	TRSH	42	12.537313	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Juniperus	Juniperus communis-type	TRSH	1	0.29850746	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Picea obovata	Picea abies-type	TRSH	6	1.7910448	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Pinus sibirica	Pinus cembra-type	TRSH	78	23.283582	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Pinus sylvestris	Pinus sylvestris-type	TRSH	58	17.313433	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Rosaceae	Rosaceae	TRSH	1	0.29850746	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Blyakharchuk_a33	Salix	Salix	TRSH	11	3.2835821	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Blyakharchuk_a33	Sambucus sibirica	Sambucus sibirica	TRSH	9	2.6865672	GroupID taken from spreadsheet
Blyakharchuk_a33	Umbellifera	Apiaceae	HERB	4	1.1940299	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a33	Artemisia	Artemisia	HERB	14	4.1791045	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a33	Spirea type	Aruncus/Spiraea	HERB	6	1.7910448	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Aster type	Aster-type	HERB	1	0.29850746	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Boraginaceae	Boraginaceae	HERB	1	0.29850746	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Cruciferae	Brassicaceae	HERB	1	0.29850746	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a33	Bupleurum	Bupleurum	HERB	3	0.89552239	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Cannabis	Cannabis sativa	HERB	4	1.1940299	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Cyperaceae	Cyperaceae	HERB	1	0.29850746	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a33	Euphorbiaceae	Euphorbiaceae	HERB	1	0.29850746	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Fabaceaa	Fabaceae	HERB	1	0.29850746	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a33	Hordeum	Hordeum-type	HERB	3	0.89552239	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Anthemis type	Matricaria-type	HERB	1	0.29850746	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Pedicularis	Pedicularis	HERB	1	0.29850746	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a33	Phlomis	Phlomis	HERB	1	0.29850746	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Poaceae	Poaceae	HERB	45	13.432836	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a33	Galium	Rubiaceae	HERB	2	0.59701493	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Blyakharchuk_a33	Rumex	Rumex/Oxyria	HERB	2	0.59701493	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Thalictrum	Thalictrum	HERB	3	0.89552239	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a33	Urtica	Urtica	HERB	1	0.29850746	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Blyakharchuk_a33	Athyrium filix femina	Athyrium filix-femina	VACR	2	0.59701493	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Bryales	Bryophyte spores	BRYO	3	0.89552239	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Equisetum	Equisetum	VACR	1	0.29850746	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Blyakharchuk_a33	Lycopodium clavat	Lycopodium clavatum	VACR	1	0.29850746	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Blyakharchuk_a33	Matteuccea strutiopt.	Matteuccia struthiopteris	VACR	1	0.29850746	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Blyakharchuk_a33	Monolete	Monolete fern spores	VACR	2	0.59701493	GroupID taken from POLNET. Only one taxon matched that acc_varname.
