samplename	original_varname	acc_varname	groupid	count	percentage
Bunting_b10	Alnus glutinosa	Alnus glutinosa-type	TRSH	30	5.5970149
Bunting_b10	Betula	Betula	TRSH	82	15.298507
Bunting_b10	Calluna vulgaris	Calluna vulgaris	DWAR	178	33.208955
Bunting_b10	Corylus avellana-type	Corylus	TRSH	39	7.2761194
Bunting_b10	Ericales undiff.	Ericales (tetrad)	DWAR	5	0.93283582
Bunting_b10	Pinus	Pinus	TRSH	51	9.5149254
Bunting_b10	Quercus	Quercus	TRSH	6	1.119403
Bunting_b10	Rosaceae undiff.	Rosaceae	TRSH	4	0.74626866
Bunting_b10	Salix	Salix	TRSH	1	0.18656716
Bunting_b10	Sorbus-type	Sorbus-type	TRSH	1	0.18656716
Bunting_b10	Ulmus	Ulmus/Zelkova	TRSH	2	0.37313433
Bunting_b10	Myrica gale-type	Myrica	HERB	39	7.2761194
Bunting_b10	Plantago lanceolata	Plantago lanceolata-type	HERB	4	0.74626866
Bunting_b10	Poaceae	Poaceae	HERB	35	6.5298507
Bunting_b10	Potentilla-type	Potentilla-type	HERB	1	0.18656716
Bunting_b10	Ranunculus undiff.	Ranunculus-type	HERB	2	0.37313433
Bunting_b10	Equisetum	Equisetum	VACR	8	1.4925373
Bunting_b10	Monolete fern spores undiff.	Monolete fern spores	VACR	7	1.3059701
Bunting_b10	Pteridium aquilinum	Pteridium aquilinum	VACR	2	0.37313433
Bunting_b10	Sphagnum	Sphagnum	BRYO	39	7.2761194
Bunting_b10	Cyperaceae	Cyperaceae	AQUA	26	4.8507463
Bunting_b10	Isoetes echinospora	Isoetes echinospora	AQPT	1	0.18656716
Bunting_b10	Isoetes lacustris	Isoetes lacustris	AQPT	18	3.358209
Bunting_b10	Nymphaea alba	Nymphaea	AQUA	10	1.8656716
Bunting_b10	Indeterminable: degraded	Indeterminable: degraded	INUN	1	
Bunting_b10	Lycopodium (counted)	Lycopodium (counted)	NOPO	163	
