samplename	original_varname	acc_varname	groupid	count	percentage
Bunting_c10	Acer	Acer campestre-type	TRSH	1	0.15128593
Bunting_c10	Alnus	Alnus	TRSH	11	1.6641452
Bunting_c10	Betula	Betula	TRSH	27	4.0847201
Bunting_c10	Calluna	Calluna vulgaris	TRSH	79	11.951589
Bunting_c10	Corylus type	Corylus	TRSH	1	0.15128593
Bunting_c10	Empetrum	Empetrum nigrum	DWAR	1	0.15128593
Bunting_c10	Fagus	Fagus	TRSH	2	0.30257186
Bunting_c10	Fraxinus	Fraxinus	TRSH	4	0.60514372
Bunting_c10	Juniperus	Juniperus communis-type	TRSH	5	0.75642965
Bunting_c10	Myrica type	Myrica	TRSH	4	0.60514372
Bunting_c10	Pinus sylvestris	Pinus sylvestris-type	TRSH	53	8.0181543
Bunting_c10	Quercus	Quercus	TRSH	13	1.9667171
Bunting_c10	Salix	Salix	TRSH	1	0.15128593
Bunting_c10	Ulmus	Ulmus/Zelkova	TRSH	1	0.15128593
Bunting_c10	Vaccinium-type	Vaccinium-type	TRSH	17	2.5718608
Bunting_c10	Artemisia type	Artemisia	HERB	5	0.75642965
Bunting_c10	Asteraceae (C/A)	Asteraceae	HERB	1	0.15128593
Bunting_c10	Brassicaceae	Brassicaceae	HERB	1	0.15128593
Bunting_c10	Cereal type	Cerealia-type	HERB	5	0.75642965
Bunting_c10	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.15128593
Bunting_c10	Cyperaceae	Cyperaceae	HERB	20	3.0257186
Bunting_c10	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.15128593
Bunting_c10	Poaceae	Poaceae	HERB	352	53.252648
Bunting_c10	Ranunculus type	Ranunculus-type	HERB	1	0.15128593
Bunting_c10	Rubiaceae	Rubiaceae	HERB	1	0.15128593
Bunting_c10	Rumex undif.	Rumex/Oxyria	HERB	7	1.0590015
Bunting_c10	Succisa pratensis	Succisa-type	HERB	1	0.15128593
Bunting_c10	Urtica dioica	Urtica dioica	HERB	13	1.9667171
Bunting_c10	Pteropsida (monolete) indet.	Monolete fern spores	VACR	3	0.45385779
Bunting_c10	Sphagnum	Sphagnum	BRYO	29	4.387292
Bunting_c10	Exotic	Exotics (counted)	NOPO	995	
Bunting_c10	exotic per tablet	Number of exotics per tablet	NOPO	10793	
Bunting_c10	sediment volume (cm^3)	Sediment volume	NOPO	1	
Bunting_c10	number of exotic tablets	Tablets (added)	NOPO	2	
