samplename	original_varname	acc_varname	groupid	count	percentage	notes
Champvillair_a24	Abies	Abies	TRSH	4	0.30534351	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Champvillair_a24	Alnus	Alnus	TRSH	20	1.5267176	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Champvillair_a24	Alnus viridis	Alnus viridis	TRSH	25	1.9083969	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Champvillair_a24	Betula	Betula	TRSH	2	0.15267176	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Champvillair_a24	Castanea	Castanea sativa	TRSH	10	0.76335878	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Corylus	Corylus	TRSH	6	0.45801527	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Champvillair_a24	Juglans	Juglans	TRSH	5	0.38167939	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Champvillair_a24	Juniperus	Juniperus communis-type	TRSH	15	1.1450382	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Larix	Larix/Pseudotsuga	TRSH	4	0.30534351	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Olea	Olea europaea	TRSH	1	0.076335878	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Picea	Picea	TRSH	27	2.0610687	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Champvillair_a24	Pinus cembra	Pinus cembra-type	TRSH	41	3.129771	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Pinus sylvestris/mugo	Pinus sylvestris-type	TRSH	114	8.7022901	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Salix	Salix	TRSH	2	0.15267176	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Champvillair_a24	Vaccinium	Vaccinium	DWAR	2	0.15267176	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Aconitum	Aconitum	HERB	1	0.076335878	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Champvillair_a24	Ambrosia	Ambrosia	HERB	6	0.45801527	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Umbelliferae	Apiaceae	HERB	5	0.38167939	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Champvillair_a24	Artemisia	Artemisia	HERB	4	0.30534351	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Champvillair_a24	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	14	1.0687023	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Champvillair_a24	Cruciferae	Brassicaceae	HERB	4	0.30534351	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Champvillair_a24	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	7	0.53435115	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Crassulaceae	Crassulaceae	HERB	1	0.076335878	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Champvillair_a24	Cyperaceae	Cyperaceae	HERB	656	50.076336	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Champvillair_a24	Anthemis type	Matricaria-type	HERB	2	0.15267176	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Plantago lanceolata type	Plantago lanceolata-type	HERB	2	0.15267176	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Plantago alpina type	Plantago maritima-type	HERB	8	0.61068702	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Champvillair_a24	Gramineae P	Poaceae	HERB	306	23.358779	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
