samplename	original_varname	acc_varname	groupid	count	percentage
Champvillair_a26	Abies	Abies	TRSH	9	1.18
Champvillair_a26	Acer	Acer campestre-type	TRSH	2	0.26
Champvillair_a26	Alnus	Alnus	TRSH	26	3.41
Champvillair_a26	Alnus viridis	Alnus viridis	TRSH	13	1.7
Champvillair_a26	Betula	Betula	TRSH	2	0.26
Champvillair_a26	Castanea	Castanea sativa	TRSH	12	1.57
Champvillair_a26	Corylus	Corylus	TRSH	14	1.83
Champvillair_a26	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	2	0.26
Champvillair_a26	Juglans	Juglans	TRSH	1	0.13
Champvillair_a26	Juniperus	Juniperus communis-type	TRSH	4	0.52
Champvillair_a26	Olea	Olea europaea	TRSH	12	1.57
Champvillair_a26	Picea	Picea	TRSH	97	12.71
Champvillair_a26	Pinus cembra	Pinus cembra-type	TRSH	78	10.22
Champvillair_a26	Pinus sylvestris/mugo	Pinus sylvestris-type	TRSH	180	23.59
Champvillair_a26	Salix	Salix	TRSH	7	0.92
Champvillair_a26	Tilia	Tilia	TRSH	2	0.26
Champvillair_a26	Ambrosia	Ambrosia	HERB	3	0.39
Champvillair_a26	Umbelliferae	Apiaceae	HERB	3	0.39
Champvillair_a26	Artemisia	Artemisia	HERB	7	0.92
Champvillair_a26	Aster type	Aster-type	HERB	2	0.26
Champvillair_a26	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	16	2.1
Champvillair_a26	Cruciferae	Brassicaceae	HERB	12	1.57
Champvillair_a26	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	7	0.92
Champvillair_a26	Crassulaceae	Crassulaceae	HERB	6	0.79
Champvillair_a26	Cyperaceae	Cyperaceae	HERB	83	10.88
Champvillair_a26	Helianthemum	Helianthemum	HERB	1	0.13
Champvillair_a26	Labiatae	Lamiaceae	HERB	1	0.13
Champvillair_a26	Anthemis type	Matricaria-type	HERB	18	2.36
Champvillair_a26	Phyteuma	Phyteuma-type	HERB	2	0.26
Champvillair_a26	Plantago lanceolata type	Plantago lanceolata-type	HERB	6	0.79
Champvillair_a26	Plantago alpina type	Plantago maritima-type	HERB	7	0.92
Champvillair_a26	Gramineae P	Poaceae	HERB	117	15.33
Champvillair_a26	Rumex acetosa type	Rumex acetosa-type	HERB	4	0.52
Champvillair_a26	Sanguisorba	Sanguisorba officinalis	HERB	1	0.13
Champvillair_a26	Saxifragaceae	Saxifragaceae	HERB	2	0.26
Champvillair_a26	Spore monolete	Monolete fern spores	VACR	3	0.39
Champvillair_a26	Pteridium	Pteridium aquilinum	VACR	1	0.13
Champvillair_a26	Carboni piccoli contati	Charcoal <50µm	CHAR	16	
Champvillair_a26	Concentrazione carbone P (Part/cm3)	Charcoal <50µm concentration	CHAR	134	
Champvillair_a26	Concentrazione carbone tot (Part/cm3)	Concentration charcoal	CHAR	134	
Champvillair_a26	Anphitrema	Amphitrema	RHIZ	1	
Champvillair_a26	Arcella	Arcella	RHIZ	7	
Champvillair_a26	Concentrazione pollinica (gran/cm3)	Concentration pollen	NOPO	6388	
Champvillair_a26	Lycopodium cont	Lycopodium (counted)	NOPO	737	
Champvillair_a26	Sordariaceae	Sordariaceae	FUNG	2	
Champvillair_a26	Volume (cm3)	Volume of sample (cm3)	NOPO	9	
