samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Colombaroli_a12	2	1	2	Acer	Acer campestre-type	TRSH
Colombaroli_a12	5	5	5	Alnus	Alnus	TRSH
Colombaroli_a12	6	17	6	Apiaceae	Apiaceae	HERB
Colombaroli_a12	7	5	7	Artemisia	Artemisia	HERB
Colombaroli_a12	15	1	15	Carduus type	Carduus	HERB
Colombaroli_a12	19	4	19	Castanea sativa	Castanea sativa	TRSH
Colombaroli_a12	22	1	22	Cerealia	Cerealia-type	HERB
Colombaroli_a12	24	11	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Colombaroli_a12	25	1	25	Cichorioidae	Asteraceae subf. Cichorioideae	HERB
Colombaroli_a12	31	1	31	Corylus avellana	Corylus	TRSH
Colombaroli_a12	32	9	32	Cyclamen	Cyclamen	HERB
Colombaroli_a12	33	4	33	Cyperaceae	Cyperaceae	HERB
Colombaroli_a12	36	1	36	Ephedra fragilis type	Ephedra fragilis-type	TRSH
Colombaroli_a12	39	2	39	Eucalyptus	Eucalyptus	TRSH
Colombaroli_a12	51	2	51	Hedera helix	Hedera	TRSH
Colombaroli_a12	58	33	58	Juniperus	Juniperus communis-type	TRSH
Colombaroli_a12	60	7	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Colombaroli_a12	61	11	61	Ligustrum	Ligustrum	TRSH
Colombaroli_a12	62	2	62	Liliaceae	Liliaceae-type	HERB
Colombaroli_a12	72	2	72	Paronychia	Paronychia	HERB
Colombaroli_a12	75	25	75	Pinus	Pinus	TRSH
Colombaroli_a12	80	53	80	Poaceae	Poaceae	HERB
Colombaroli_a12	82	1	82	Prunus	Prunus-type	TRSH
Colombaroli_a12	84	183	84	Quercus cerris/suber	Quercus cerris-type	TRSH
Colombaroli_a12	86	70	86	Quercus pubescens/petraea	Quercus robur-type	TRSH
Colombaroli_a12	87	2	87	Ranunculus acris type	Ranunculus acris-type	HERB
Colombaroli_a12	94	1	94	Rumex undiff.	Rumex/Oxyria	HERB
Colombaroli_a12	100	1	100	Sambucus nigra	Sambucus nigra	TRSH
Colombaroli_a12	117	2	117	Urtica dioica	Urtica dioica	HERB
Colombaroli_a12	11	3	11	Aster type	Aster-type	HERB
Colombaroli_a12	12	1	12	Betula	Betula	TRSH
Colombaroli_a12	13	3	13	Brassicaceae	Brassicaceae	HERB
Colombaroli_a12	29	1	29	Centaurea nigra type	Centaurea nigra-type	HERB
Colombaroli_a12	30	3	30	Plantago coronopus	Plantago coronopus-type	HERB
Colombaroli_a12	42	104	42	Fagus sylvatica	Fagus	TRSH
Colombaroli_a12	47	5	47	Fraxinus excelsior	Fraxinus excelsior-type	TRSH
Colombaroli_a12	66	4	66	Mercurialis annua	Mercurialis annua	HERB
Colombaroli_a12	68	23	68	Olea europaea	Olea europaea	TRSH
Colombaroli_a12	92	2	92	Rosaceae	Rosaceae	TRSH
