samplename	original_varname	acc_varname	groupid	count	percentage
Colombaroli_a23	Erica	Erica	TRSH	1	0.17
Colombaroli_a23	Eucalyptus	Eucalyptus	TRSH	1	0.17
Colombaroli_a23	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	1	0.17
Colombaroli_a23	Juniperus	Juniperus communis-type	TRSH	5	0.83
Colombaroli_a23	Olea europaea	Olea europaea	TRSH	9	1.5
Colombaroli_a23	Pinus	Pinus	TRSH	10	1.66
Colombaroli_a23	Quercus cerris/suber	Quercus cerris-type	TRSH	450	74.75
Colombaroli_a23	Quercus pubescens/petraea	Quercus robur-type	TRSH	95	15.78
Colombaroli_a23	Apiaceae	Apiaceae	HERB	11	1.83
Colombaroli_a23	Artemisia	Artemisia	HERB	2	0.33
Colombaroli_a23	Asphodelus	Asphodelus	HERB	1	0.17
Colombaroli_a23	Aster type	Aster-type	HERB	2	0.33
Colombaroli_a23	Cichorioidae	Asteraceae subf. Cichorioideae	HERB	4	0.66
Colombaroli_a23	Cyperaceae	Cyperaceae	HERB	2	0.33
Colombaroli_a23	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.17
Colombaroli_a23	Poaceae	Poaceae	HERB	7	1.16
