samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Connor_a12	1326	1	4	Allium-type	Allium-type	HERB
Connor_a12	155	15	155	Alnus glutinosa-type	Alnus glutinosa-type	TRSH
Connor_a12	7	16	7	Artemisia	Artemisia	HERB
Connor_a12	524	1	524	Berberis	Berberis	TRSH
Connor_a12	12	1	12	Betula	Betula	TRSH
Connor_a12	663	5	663	Botryococcus	Botryococcus	ALGA
Connor_a12	1340	2	205	Cannabis-type	Humulus/Cannabis	HERB
Connor_a12	563	25	16	Carpinus betulus	Carpinus betulus	TRSH
Connor_a12	946	1	18	Caryophyllaceae undiff.	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Connor_a12	19	3	19	Castanea sativa	Castanea sativa	TRSH
Connor_a12	3681	2	29	Centaurea solstitialis-type	Centaurea nigra-type	HERB
Connor_a12	24	37	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Connor_a12	3788	6	3788	Chironomid	Chironomidae	NOPO
Connor_a12	1242	5	1242	Cichorium-type	Crepis-type	HERB
Connor_a12	1243	1	603	Cirsium-type	Cirsium	HERB
Connor_a12	1329	1	1329	Cornus mas	Cornus mas	TRSH
Connor_a12	201	7	31	Corylus	Corylus	TRSH
Connor_a12	3868	14	3868	Cyperaceae	Cyperaceae	AQUA
Connor_a12	1136	1	1136	Eryngium	Eryngium	HERB
Connor_a12	3960	1	3960	Fabaceae undiff.	Fabaceae undiff.	INUN
Connor_a12	192	15	42	Fagus	Fagus	TRSH
Connor_a12	3964	1	43	Falcaria-type	Falcaria-type	HERB
Connor_a12	190	4	190	Fraxinus	Fraxinus	TRSH
Connor_a12	2935	2	608	Gentianella campestris-type	Gentianella campestris-type	HERB
Connor_a12	826	2	479	Hippophae rhamnoides	Hippophae rhamnoides	TRSH
Connor_a12	949	1	258	Hordeum-type	Hordeum-type	HERB
Connor_a12	4057	1	261	Hornungia-type	Hornungia-type	HERB
Connor_a12	718	1	718	Indeterminable: degraded	Indeterminable: degraded	INUN
Connor_a12	4078	1	177	Indeterminable: unknown	Indeterminable: unknown	INUN
Connor_a12	58	16	58	Juniperus	Juniperus communis-type	TRSH
Connor_a12	1073	1	65	Mentha-type	Mentha-type	HERB
Connor_a12	4193	1	146	Monolete fern spores	Monolete fern spores	VACR
Connor_a12	4242	1	95	Oxyria-type	Rumex acetosa-type	HERB
Connor_a12	4292	4	4292	Picea orientalis	Picea omorika-type	TRSH
Connor_a12	75	84	75	Pinus	Pinus	TRSH
Connor_a12	1075	12	60	Plantago lanceolata-type	Plantago lanceolata-type	HERB
Connor_a12	1348	1	79	Plantago major-type	Plantago major	HERB
Connor_a12	2760	2	64	Plantago maritima-type	Plantago maritima-type	HERB
Connor_a12	80	70	80	Poaceae	Poaceae	HERB
Connor_a12	81	2	81	Populus	Populus	TRSH
Connor_a12	657	3	108	Potamogeton	Potamogeton-type	AQUA
Connor_a12	437	52	86	Quercus deciduous	Quercus robur-type	TRSH
Connor_a12	1974	450	405	Ruppia	Ruppia	AQUA
Connor_a12	99	3	99	Salix	Salix	TRSH
Connor_a12	4577	1	4577	Scorzonera humilis-type	Scorzonera humilis-type	HERB
Connor_a12	1403	2	246	Sinapis-type	Sinapis-type	HERB
Connor_a12	1232	3	107	Sorbus-type	Sorbus-type	TRSH
Connor_a12	154	4	154	Ulmus	Ulmus/Zelkova	TRSH
Connor_a12	121	1	121	Vicia	Vicia-type	HERB
Connor_a12	4768	2	154	Zelkova-type	Ulmus/Zelkova	TRSH
Connor_a12	572	12	70	Ostrya-type	Ostrya/Carpinus orientalis	TRSH
Connor_a12	589	2	3	Anthemis-type	Matricaria-type	HERB
Connor_a12	626	1	512	Potentilla-type	Potentilla-type	HERB
Connor_a12	652	4	652	Urtica	Urtica	HERB
Connor_a12	1086	5	176	Sparganium-type	Sparganium-type	AQUA
Connor_a12	1148	1	194	Juglans regia	Juglans regia	TRSH
Connor_a12	1233	9	1199	Triticum-type	Triticum-type	HERB
Connor_a12	1411	26	1044	Xanthium-type	Xanthium	HERB
Connor_a12	3682	2	267	Centaurea undiff.	Centaurea	HERB
Connor_a12	3975	2	45	Filipendula-type	Filipendula	HERB
Connor_a12	4245	6	89	Paliurus spina-christi	Rhamnus-type	TRSH
Connor_a12	4585	1	256	Secale-type	Secale cereale	HERB
Connor_a12	605	3	93	Galium-type	Rubiaceae	HERB
