samplename	original_varname	acc_varname	groupid	count	percentage
Connor_a44	Abies nordmanniana	Abies nordmanniana	TRSH	3	0.1934236
Connor_a44	Alnus glutinosa-type	Alnus glutinosa-type	TRSH	1	0.064474533
Connor_a44	Betula	Betula	TRSH	1	0.064474533
Connor_a44	Carpinus betulus	Carpinus betulus	TRSH	17	1.0960671
Connor_a44	Castanea sativa	Castanea sativa	TRSH	5	0.32237266
Connor_a44	Corylus	Corylus	TRSH	6	0.3868472
Connor_a44	Fagus	Fagus	TRSH	10	0.64474533
Connor_a44	Fraxinus	Fraxinus	TRSH	1	0.064474533
Connor_a44	Juglans regia	Juglans regia	TRSH	2	0.12894907
Connor_a44	Juniperus	Juniperus communis-type	TRSH	1	0.064474533
Connor_a44	Ligustrum	Ligustrum	TRSH	5	0.32237266
Connor_a44	Olea europaea	Olea europaea	TRSH	1	0.064474533
Connor_a44	Ostrya-type	Ostrya/Carpinus orientalis	TRSH	8	0.51579626
Connor_a44	Picea orientalis	Picea orientalis	TRSH	6	0.3868472
Connor_a44	Pinus	Pinus	TRSH	65	4.1908446
Connor_a44	Pterocarya fraxinifolia	Pterocarya fraxinifolia	TRSH	1	0.064474533
Connor_a44	Quercus deciduous	Quercus robur-type	TRSH	17	1.0960671
Connor_a44	Salix	Salix	TRSH	4	0.25789813
Connor_a44	Ulmus	Ulmus/Zelkova	TRSH	3	0.1934236
Connor_a44	Apiaceae undifferentiated	Apiaceae	HERB	6	0.3868472
Connor_a44	Artemisia	Artemisia	HERB	17	1.0960671
Connor_a44	Brassicaceae undifferentiated	Brassicaceae undifferentiated	HERB	10	0.64474533
Connor_a44	Caryophyllaceae undifferentiated	Caryophyllaceae undifferentiated	HERB	2	0.12894907
Connor_a44	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	16	1.0315925
Connor_a44	Cichorium-type	Crepis-type	HERB	4	0.25789813
Connor_a44	Cyperaceae	Cyperaceae	HERB	1185	76.402321
Connor_a44	Echium	Echium	HERB	1	0.064474533
Connor_a44	Filipendula-type	Filipendula-type	HERB	3	0.1934236
Connor_a44	Galium-type	Galium-type	HERB	6	0.3868472
Connor_a44	Cannabis-type	Humulus/Cannabis	HERB	1	0.064474533
Connor_a44	Lamiaceae undifferentiated	Lamiaceae undifferentiated	HERB	1	0.064474533
Connor_a44	Liliaceae	Liliaceae-type	HERB	1	0.064474533
Connor_a44	Anthemis-type	Matricaria-type	HERB	9	0.58027079
Connor_a44	Mentha-type	Mentha-type	HERB	1	0.064474533
Connor_a44	Oxyria-type	Oxyria-type	HERB	1	0.064474533
Connor_a44	Papaver	Papaver	HERB	2	0.12894907
Connor_a44	Plantago lanceolata-type	Plantago lanceolata-type	HERB	4	0.25789813
Connor_a44	Plantago maritima-type	Plantago maritima-type	HERB	6	0.3868472
Connor_a44	Poaceae	Poaceae	HERB	81	5.2224371
Connor_a44	Polygonum aviculare-type	Polygonum aviculare-type	HERB	2	0.12894907
Connor_a44	Primula-type	Primula-type	HERB	2	0.12894907
Connor_a44	Ranunculus acris-type	Ranunculus acris-type	HERB	2	0.12894907
Connor_a44	Ranunculus-type	Ranunculus-type	HERB	2	0.12894907
Connor_a44	Rumex acetosella-type	Rumex acetosella	HERB	2	0.12894907
Connor_a44	Silene dioica-type	Silene dioica-type	HERB	1	0.064474533
Connor_a44	Triticum-type	Triticum-type	HERB	15	0.96711799
Connor_a44	Xanthium-type	Xanthium	HERB	3	0.1934236
Connor_a44	Fabaceae undifferentiated	Fabaceae undifferentiated	INUN	3	
Connor_a44	Indeterminable: degraded	Indeterminable: degraded	INUN	7	
Connor_a44	Indeterminable: unknown	Indeterminable: unknown	INUN	2	
Connor_a44	Equisetum	Equisetum	VACR	5	0.32237266
Connor_a44	Monolete fern spores	Monolete fern spores	VACR	2	0.12894907
Connor_a44	Ophioglossum	Ophioglossum	VACR	1	0.064474533
