	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Connor_b10	175	1	175	Alnus glutinosa-type	Alnus glutinosa-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	0.13605442
1	Connor_b10	5	1	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	0.13605442
2	Connor_b10	470	16	470	Calluna vulgaris	Calluna vulgaris	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	2.1768707
3	Connor_b10	2541	16	468	Erica arborea-type	Erica arborea-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	2.1768707
4	Connor_b10	3488	14	3488	Erica cinerea-type	Erica cinerea-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	1.9047619
5	Connor_b10	3489	3	3489	Erica erigena-type	Erica erigena-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	0.40816327
6	Connor_b10	13	1	13	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	0.13605442
7	Connor_b10	2542	1	77	Ulex-type	Genista-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	0.13605442
8	Connor_b10	85	98	85	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	13.333333
9	Connor_b10	95	16	95	Olea europaea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	2.1768707
10	Connor_b10	101	2	101	Phillyrea	Phillyrea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	0.27210884
11	Connor_b10	19	222	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	30.204082
12	Connor_b10	103	3	103	Pistacia	Pistacia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	0.40816327
13	Connor_b10	2801	30	110	Quercus suber-type	Quercus cerris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	4.0816327
14	Connor_b10	3981	9	3981	Quercus coccifera-type	Quercus coccifera-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	1.2244898
15	Connor_b10	21	7	21	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	735	0.95238095
16	Connor_b10	3064	3	2281	Adonis aestivalis-type	Adonis aestivalis-type	HERB	Herbs	HERB	True	True	Herbs	5	735	0.40816327
17	Connor_b10	37	9	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	735	1.2244898
18	Connor_b10	608	9	41	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	735	1.2244898
19	Connor_b10	460	5	53	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	735	0.68027211
20	Connor_b10	42	2	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	735	0.27210884
21	Connor_b10	3206	4	3206	Calendula-type	Calendula-type	HERB	Herbs	HERB	True	True	Herbs	5	735	0.54421769
22	Connor_b10	3233	10	3233	Carpobrotus	Carpobrotus	HERB	Herbs	HERB	True	True	Herbs	5	735	1.3605442
23	Connor_b10	958	2	49	Cerastium-type	Cerastium-type	HERB	Herbs	HERB	True	True	Herbs	5	735	0.27210884
24	Connor_b10	52	5	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	735	0.68027211
25	Connor_b10	3399	60	3399	Corema album-type	Corema album-type	HERB	Herbs	HERB	True	True	Herbs	5	735	8.1632653
26	Connor_b10	61	1	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	735	0.13605442
27	Connor_b10	3584	2	3584	Halimium/Tuberaria	Halimium/Tuberaria	HERB	Herbs	HERB	True	True	Herbs	5	735	0.27210884
28	Connor_b10	1230	1	840	Hypericum perforatum-type	Hypericum perforatum-type	HERB	Herbs	HERB	True	True	Herbs	5	735	0.13605442
29	Connor_b10	600	3	34	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	735	0.40816327
