samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Connor_e1	560	2	321	Abies	Abies	TRSH
Connor_e1	1796	1	24	Amaranthus	Chenopodiaceae/Amaranthaceae	HERB
Connor_e1	7	2	7	Artemisia	Artemisia	HERB
Connor_e1	12	3	12	Betula	Betula	TRSH
Connor_e1	3696	1	556	Cercophora-type	Cercophora-type	FUNG
Connor_e1	2558	2	24	Chenopodiaceae-type	Chenopodiaceae/Amaranthaceae	HERB
Connor_e1	3824	2	25	Compositae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Connor_e1	31	4	31	Corylus avellana	Corylus	TRSH
Connor_e1	3868	1	3868	Cyperaceae	Cyperaceae	AQUA
Connor_e1	44	2	44	Fraxinus ornus	Fraxinus ornus	TRSH
Connor_e1	1601	16	80	Gramineae	Poaceae	HERB
Connor_e1	552	36	366	Isoetes	Isoetes	AQPT
Connor_e1	1148	2	194	Juglans regia	Juglans regia	TRSH
Connor_e1	58	5	58	Juniperus	Juniperus communis-type	TRSH
Connor_e1	4190	1	2943	Moehringia-type	Moehringia-type	HERB
Connor_e1	68	2	68	Olea europaea	Olea europaea	TRSH
Connor_e1	572	5	70	Ostrya-type	Ostrya/Carpinus orientalis	TRSH
Connor_e1	126	7	126	Picea	Picea	TRSH
Connor_e1	2420	40	124	Pinus peuce	Pinus cembra-type	TRSH
Connor_e1	4307	178	125	Pinus subg. Pinus	Pinus sylvestris-type	TRSH
Connor_e1	2577	1	64	Plantago alpina-type	Plantago maritima-type	HERB
Connor_e1	4328	1	1960	Plantago montana-type	Plantago atrata-type	HERB
Connor_e1	626	1	512	Potentilla-type	Potentilla-type	HERB
Connor_e1	180	1	180	Pteridium aquilinum	Pteridium aquilinum	VACR
Connor_e1	189	18	189	Quercus	Quercus	TRSH
Connor_e1	1052	3	85	Quercus ilex-type	Quercus ilex-type	TRSH
Connor_e1	96	2	96	Rumex acetosella	Rumex acetosella	HERB
Connor_e1	1041	1	1041	Scleranthus	Scleranthus	HERB
Connor_e1	187	1	187	Tilia	Tilia	TRSH
Connor_e1	154	1	154	Ulmus	Ulmus/Zelkova	TRSH
Connor_e1	74	1	74	Phillyrea	Phillyrea	TRSH
Connor_e1	155	7	155	Alnus glutinosa-type	Alnus glutinosa-type	TRSH
Connor_e1	192	8	42	Fagus	Fagus	TRSH
Connor_e1	630	3	87	Ranunculus acris-type	Ranunculus acris-type	HERB
Connor_e1	662	2	662	Pediastrum	Pediastrum	ALGA
Connor_e1	1075	1	60	Plantago lanceolata-type	Plantago lanceolata-type	HERB
Connor_e1	3890	1	1246	Dianthus superbus-type	Dianthus/Petrorhagia	HERB
Connor_e1	4193	1	146	Monolete fern spores	Monolete fern spores	VACR
