samplename	original_varname	acc_varname	groupid	count	percentage
Dambach_a232	Abies	Abies	TRSH	17	2.0782396
Dambach_a232	Alnus	Alnus	TRSH	33	4.0342298
Dambach_a232	Betula	Betula	TRSH	44	5.3789731
Dambach_a232	Calluna-type	Calluna-type	DWAR	27	3.3007335
Dambach_a232	Carpinus	Carpinus betulus	TRSH	6	0.73349633
Dambach_a232	Castanea	Castanea sativa	TRSH	3	0.36674817
Dambach_a232	Corylus	Corylus	TRSH	15	1.8337408
Dambach_a232	Fagus	Fagus	TRSH	23	2.8117359
Dambach_a232	Fraxinus	Fraxinus	TRSH	2	0.24449878
Dambach_a232	Larix	Larix/Pseudotsuga	TRSH	1	0.12224939
Dambach_a232	Picea	Picea	TRSH	221	27.017115
Dambach_a232	Pinus	Pinus	TRSH	339	41.442543
Dambach_a232	Quercus	Quercus	TRSH	15	1.8337408
Dambach_a232	Salix	Salix	TRSH	1	0.12224939
Dambach_a232	Vaccinium-type	Vaccinium-type	DWAR	2	0.24449878
Dambach_a232	Umbelliferae	Apiaceae	HERB	2	0.24449878
Dambach_a232	Artemisia	Artemisia	HERB	1	0.12224939
Dambach_a232	Brassicaceae	Brassicaceae	HERB	2	0.24449878
Dambach_a232	Cerealia-type	Cerealia-type	HERB	1	0.12224939
Dambach_a232	Cyperaceae	Cyperaceae	HERB	6	0.73349633
Dambach_a232	Plantago lanceolata	Plantago lanceolata-type	HERB	6	0.73349633
Dambach_a232	Gramineae	Poaceae	HERB	46	5.6234719
Dambach_a232	Ranunculaceae	Ranunculaceae	HERB	2	0.24449878
Dambach_a232	Ranunculus-type	Ranunculus-type	HERB	2	0.24449878
Dambach_a232	Rumex acetosa-type	Rumex acetosa-type	HERB	1	0.12224939
Dambach_a232	Indeterminable: unknown	Indeterminable: unknown	INUN	4	
