	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Dambach_a343	2	1	2	Acer	Acer campestre-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	0.11820331
1	Dambach_a343	4	2	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	0.23640662
2	Dambach_a343	5	10	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	1.1820331
3	Dambach_a343	7	4	7	Carpinus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	0.47281324
4	Dambach_a343	454	1	47	Castanea	Castanea sativa	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	0.11820331
5	Dambach_a343	9	1	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	0.11820331
6	Dambach_a343	12	8	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	0.94562648
7	Dambach_a343	13	2	13	Fraxinus	Fraxinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	0.23640662
8	Dambach_a343	18	9	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	1.0638298
9	Dambach_a343	19	13	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	1.536643
10	Dambach_a343	208	2	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	0.23640662
11	Dambach_a343	25	2	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	846	0.23640662
12	Dambach_a343	601	15	36	Umbelliferae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	846	1.7730496
13	Dambach_a343	37	1	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	846	0.11820331
14	Dambach_a343	772	4	180	Asteroideae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	846	0.47281324
15	Dambach_a343	460	185	53	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	846	21.867612
16	Dambach_a343	42	5	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	846	0.59101655
17	Dambach_a343	46	4	46	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	846	0.47281324
18	Dambach_a343	2301	4	475	Centaurea cyanus-type	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	846	0.47281324
19	Dambach_a343	1075	121	50	Cerealia-type	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	846	14.3026
20	Dambach_a343	52	5	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	846	0.59101655
21	Dambach_a343	61	17	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	846	2.0094563
22	Dambach_a343	69	14	69	Fabaceae	Fabaceae	HERB	Herbs	HERB	True	True	Herbs	5	846	1.6548463
23	Dambach_a343	87	8	87	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	846	0.94562648
24	Dambach_a343	1611	396	106	Gramineae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	846	46.808511
25	Dambach_a343	156	6	156	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	846	0.70921986
26	Dambach_a343	2438	1	290	Ranunculus-type	Ranunculus-type	HERB	Herbs	HERB	True	True	Herbs	5	846	0.11820331
27	Dambach_a343	645	1	121	Rumex acetosa-type	Rumex acetosa-type	HERB	Herbs	HERB	True	True	Herbs	5	846	0.11820331
28	Dambach_a343	167	4	167	Polypodiaceae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	846	0.47281324
29	Dambach_a343	3631	8	197	Indeterminable: unknown	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	846	
30	Dambach_a343	1108	2	197	Varia	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	846	
