samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Desprat_a25	971	540	881	Exotic	Exotics (counted)	NOPO
Desprat_a25	75	214	75	Pinus	Pinus	TRSH
Desprat_a25	130	1	130	Ericaceae	Ericales (tetrad)	DWAR
Desprat_a25	1906	7	86	Quercus deciduous  type	Quercus robur-type	TRSH
Desprat_a25	24	30	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Desprat_a25	77	88	77	Pistacia	Pistacia	TRSH
Desprat_a25	442	26	68	Olea	Olea europaea	TRSH
Desprat_a25	509	1	509	Myrtus	Myrtus communis	TRSH
Desprat_a25	542	56	542	Ceratonia	Ceratonia siliqua	TRSH
Desprat_a25	1908	4	85	Quercus evergreen  type	Quercus ilex-type	TRSH
Desprat_a25	7	9	7	Artemisia	Artemisia	HERB
Desprat_a25	1871	20	1242	Taraxacum	Crepis-type	HERB
Desprat_a25	1910	7	36	Ephedra fragilis  type	Ephedra fragilis-type	TRSH
Desprat_a25	1912	10	11	Aster  type	Aster-type	HERB
Desprat_a25	1914	1	29	Centaurea nigra  type	Centaurea nigra-type	HERB
Desprat_a25	9	6	9	Asphodelus	Asphodelus	HERB
Desprat_a25	13	16	13	Brassicaceae	Brassicaceae	HERB
Desprat_a25	18	1	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Desprat_a25	45	1	45	Filipendula	Filipendula	HERB
Desprat_a25	80	16	80	Poaceae	Poaceae	HERB
Desprat_a25	102	2	102	Scabiosa	Scabiosa	HERB
Desprat_a25	1922	3	998	Xbroken	Indeterminable: broken	INUN
Desprat_a25	1924	7	1324	Xcorroded	Indeterminable: corroded	INUN
Desprat_a25	72	1	72	Paronychia	Paronychia	HERB
Desprat_a25	92	4	92	Rosaceae	Rosaceae	TRSH
Desprat_a25	724	1	270	Plantago	Plantago	HERB
Desprat_a25	1915	4	227	Mercurialis  type	Mercurialis	HERB
Desprat_a25	1918	1	65	Mentha  type	Mentha-type	HERB
