samplename	original_varname	acc_varname	groupid	count	percentage	notes
Desprat_a6	Alnus	Alnus	TRSH	2	0.62893082	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Desprat_a6	Corylus	Corylus	TRSH	1	0.31446541	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Desprat_a6	Ericaceae	Ericales (tetrad)	DWAR	1	0.31446541	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Myrtus	Myrtus communis	TRSH	1	0.31446541	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Olea	Olea europaea	TRSH	18	5.6603774	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Pinus	Pinus	TRSH	9	2.8301887	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Desprat_a6	Pistacia	Pistacia	TRSH	33	10.377358	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Quercus evergreen  type	Quercus ilex-type	TRSH	1	0.31446541	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Quercus deciduous  type	Quercus robur-type	TRSH	1	0.31446541	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Rosaceae	Rosaceae	TRSH	1	0.31446541	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Desprat_a6	Apiaceae	Apiaceae	HERB	2	0.62893082	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Desprat_a6	Aster  type	Aster-type	HERB	10	3.1446541	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Brassicaceae	Brassicaceae	HERB	5	1.572327	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Desprat_a6	Centaurea cyanus  type	Centaurea cyanus-type	HERB	1	0.31446541	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Cereal  type	Cerealia-type	HERB	2	0.62893082	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	79	24.842767	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Taraxacum	Crepis-type	HERB	17	5.3459119	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Anthemis  type	Matricaria-type	HERB	3	0.94339623	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Mentha  type	Mentha-type	HERB	1	0.31446541	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Desprat_a6	Plantago	Plantago	HERB	3	0.94339623	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Desprat_a6	Poaceae	Poaceae	HERB	127	39.937107	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Desprat_a6	Xbroken	Indeterminable: broken	INUN	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Xunknown	Indeterminable: unknown	INUN	1		GroupID taken from POLNET. Only one taxon matched that acc_varname.
Desprat_a6	Exotic	Exotics (counted)	NOPO	146		GroupID taken from POLNET. Only one taxon matched that acc_varname.
