samplename	original_varname	acc_varname	groupid	count	percentage
Di_Rita_a7	ACER	Acer campestre-type	TRSH	1	0.57142857
Di_Rita_a7	ALNUS	Alnus	TRSH	4	2.2857143
Di_Rita_a7	BETULA	Betula	TRSH	2	1.1428571
Di_Rita_a7	CASTANEA	Castanea sativa	TRSH	6	3.4285714
Di_Rita_a7	CORYLUS	Corylus	TRSH	3	1.7142857
Di_Rita_a7	ERICACEAE	Ericales (tetrad)	DWAR	5	2.8571429
Di_Rita_a7	FRAXINUS	Fraxinus	TRSH	2	1.1428571
Di_Rita_a7	HEDERA	Hedera	TRSH	1	0.57142857
Di_Rita_a7	JUGLANS	Juglans	TRSH	1	0.57142857
Di_Rita_a7	JUNIPERUS	Juniperus-type	TRSH	3	1.7142857
Di_Rita_a7	OLEA	Olea europaea	TRSH	7	4
Di_Rita_a7	PINUS	Pinus	TRSH	20	11.428571
Di_Rita_a7	PISTACIA	Pistacia	TRSH	2	1.1428571
Di_Rita_a7	POPULUS	Populus	TRSH	1	0.57142857
Di_Rita_a7	QUERCUS SUBER/CERRIS	Quercus cerris-type	TRSH	5	2.8571429
Di_Rita_a7	QUERCUS ILEX type	Quercus ilex-type	TRSH	11	6.2857143
Di_Rita_a7	QUERCUS ROBUR type	Quercus robur-type	TRSH	4	2.2857143
Di_Rita_a7	ROSACEAE	Rosaceae	TRSH	2	1.1428571
Di_Rita_a7	SALIX	Salix	TRSH	1	0.57142857
Di_Rita_a7	TAMARIX	Tamarix	TRSH	1	0.57142857
Di_Rita_a7	APIACEAE	Apiaceae	HERB	3	1.7142857
Di_Rita_a7	ARTEMISIA	Artemisia	HERB	1	0.57142857
Di_Rita_a7	ASTEROIDEAE	Asteraceae subf. Asteroideae	HERB	7	4
Di_Rita_a7	CICHORIOIDEAE	Asteraceae subf. Cichorioideae	HERB	34	19.428571
Di_Rita_a7	BRASSICACEAE	Brassicaceae	HERB	5	2.8571429
Di_Rita_a7	CANNABACEAE	Cannabaceae/Urticaceae	HERB	2	1.1428571
Di_Rita_a7	URTICACEAE	Cannabaceae/Urticaceae	HERB	1	0.57142857
Di_Rita_a7	cereal type	Cerealia-type	HERB	2	1.1428571
Di_Rita_a7	CHENOPODIACEAE/AMARANTHACEAE	Chenopodiaceae/Amaranthaceae	HERB	8	4.5714286
Di_Rita_a7	CYPERACEAE/JUNCACEAE	Cyperaceae	HERB	7	4
Di_Rita_a7	FABACEAE	Fabaceae	HERB	2	1.1428571
Di_Rita_a7	LILIACEAE	Liliaceae-type	HERB	2	1.1428571
Di_Rita_a7	MALVACEAE	Malvaceae	HERB	1	0.57142857
Di_Rita_a7	PLANTAGO	Plantago	HERB	1	0.57142857
Di_Rita_a7	POACEAE	Poaceae	HERB	9	5.1428571
Di_Rita_a7	POLYGONUM BISTORTA type	Polygonum bistorta-type	HERB	1	0.57142857
Di_Rita_a7	RANUNCULACEAE	Ranunculaceae	HERB	1	0.57142857
Di_Rita_a7	RUMEX	Rumex/Oxyria	HERB	1	0.57142857
Di_Rita_a7	THALICTRUM type	Thalictrum	HERB	1	0.57142857
Di_Rita_a7	Monolete spores	Monolete fern spores	VACR	1	0.57142857
Di_Rita_a7	POLYPODIUM	Polypodium	VACR	1	0.57142857
Di_Rita_a7	Trilete spores	Trilete spore(s)	VACR	2	1.1428571
Di_Rita_a7	ISOETES	Isoetes	AQPT	1	0.57142857
Di_Rita_a7	PSEUDOSCHIZAEA	Pseudoschizaea	ALGA	4	2.2857143
Di_Rita_a7	TYPHA LATIFOLIA	Typha latifolia	AQUA	2	1.1428571
Di_Rita_a7	Indeterminable grains	Indeterminable: unknown	INUN	13	
Di_Rita_a7	foraminiferal linings	Foraminifera	INVE	2	
Di_Rita_a7	GLOMUS	Glomus	FUNG	25	
Di_Rita_a7	SPINIFERITES type	Spiniferites	DINO	1	
