samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Djamali_a14	5	43	5	Alnus	Alnus	TRSH
Djamali_a14	16	274	16	Carpinus	Carpinus betulus	TRSH
Djamali_a14	57	1	57	Juglans	Juglans	TRSH
Djamali_a14	58	48	58	Juniperus	Juniperus communis-type	TRSH
Djamali_a14	75	2	75	Pinus	Pinus	TRSH
Djamali_a14	159	16	159	Ephedra	Ephedra	TRSH
Djamali_a14	189	240	189	Quercus	Quercus	TRSH
Djamali_a14	6	6	6	Apiaceae	Apiaceae	HERB
Djamali_a14	7	106	7	Artemisia	Artemisia	HERB
Djamali_a14	18	18	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Djamali_a14	33	1	33	Cyperaceae	Cyperaceae	HERB
Djamali_a14	62	5	62	Liliaceae	Liliaceae-type	HERB
Djamali_a14	80	30	80	Poaceae	Poaceae	HERB
Djamali_a14	134	12	134	Asteraceae	Asteraceae	HERB
Djamali_a14	187	3	187	Tilia	Tilia	TRSH
Djamali_a14	724	1	270	Plantago	Plantago	HERB
Djamali_a14	173	4	173	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB
Djamali_a14	1078	1	262	Polygonum aviculare-type	Polygonum aviculare-type	HERB
Djamali_a14	92	9	92	Rosaceae	Rosaceae	TRSH
Djamali_a14	93	3	93	Rubiaceae	Rubiaceae	HERB
Djamali_a14	2	56	2	Acer	Acer campestre-type	TRSH
Djamali_a14	190	1	190	Fraxinus	Fraxinus	TRSH
Djamali_a14	192	3	42	Fagus	Fagus	TRSH
Djamali_a14	193	1	193	Parrotia persica	Parrotia persica	TRSH
Djamali_a14	769	101	24	Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB
Djamali_a14	1436	64	89	Paliurus spina-christi/Rhamnus	Rhamnus-type	TRSH
Djamali_a14	1437	6	154	Zelkova/Ulmus	Ulmus/Zelkova	TRSH
Djamali_a14	1438	2	10	Astragalus-type	Astragalus-type	HERB
