samplename	original_varname	acc_varname	groupid	count	percentage
EMBSECBIO_a20	Abies	Abies	TRSH	3	1.2396694
EMBSECBIO_a20	Alnus	Alnus	TRSH	1	0.41322314
EMBSECBIO_a20	Betula	Betula	TRSH	2	0.82644628
EMBSECBIO_a20	Carpinus	Carpinus betulus	TRSH	1	0.41322314
EMBSECBIO_a20	Corylus	Corylus	TRSH	1	0.41322314
EMBSECBIO_a20	Ephedra distachya	Ephedra distachya-type	TRSH	33	13.636364
EMBSECBIO_a20	Fraxinus angustifolia subsp. oxycarpa	Fraxinus angustifolia	TRSH	3	1.2396694
EMBSECBIO_a20	Juglandaceae	Juglandaceae	TRSH	3	1.2396694
EMBSECBIO_a20	Juniperus	Juniperus communis-type	TRSH	5	2.0661157
EMBSECBIO_a20	Larix	Larix/Pseudotsuga	TRSH	14	5.785124
EMBSECBIO_a20	Pinus (Haploxylon)	Pinus cembra-type	TRSH	50	20.661157
EMBSECBIO_a20	Quercus evergreen	Quercus ilex-type	TRSH	5	2.0661157
EMBSECBIO_a20	Rubus	Rubus	TRSH	4	1.6528926
EMBSECBIO_a20	Sambucus	Sambucus	TRSH	1	0.41322314
EMBSECBIO_a20	Apiaceae	Apiaceae	HERB	2	0.82644628
EMBSECBIO_a20	Eryngium-type	Apiaceae	HERB	1	0.41322314
EMBSECBIO_a20	Turgenia-type	Apiaceae	HERB	5	2.0661157
EMBSECBIO_a20	Artemisia	Artemisia	HERB	2	0.82644628
EMBSECBIO_a20	Asteroideae	Asteraceae subf. Asteroideae	HERB	9	3.7190083
EMBSECBIO_a20	Brassicaceae	Brassicaceae	HERB	6	2.4793388
EMBSECBIO_a20	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	33	13.636364
EMBSECBIO_a20	Cistaceae	Cistaceae	HERB	1	0.41322314
EMBSECBIO_a20	Cyclamen	Cyclamen	HERB	3	1.2396694
EMBSECBIO_a20	Fabaceae	Fabaceae	HERB	1	0.41322314
EMBSECBIO_a20	Gentiana	Gentiana	HERB	1	0.41322314
EMBSECBIO_a20	Juncaceae	Juncaceae	HERB	4	1.6528926
EMBSECBIO_a20	Lilium	Lilium	HERB	1	0.41322314
EMBSECBIO_a20	Limonium	Limonium	HERB	3	1.2396694
EMBSECBIO_a20	Lithospermum	Lithospermum-type	HERB	3	1.2396694
EMBSECBIO_a20	Mentha-type	Mentha-type	HERB	1	0.41322314
EMBSECBIO_a20	Plantago	Plantago	HERB	9	3.7190083
EMBSECBIO_a20	Plantago coronopus-type	Plantago coronopus-type	HERB	4	1.6528926
EMBSECBIO_a20	Polemoniaceae	Polemoniaceae	HERB	1	0.41322314
EMBSECBIO_a20	Polemonium	Polemonium	HERB	4	1.6528926
EMBSECBIO_a20	Potentilla	Potentilla-type	HERB	1	0.41322314
EMBSECBIO_a20	Rheum	Rheum	HERB	1	0.41322314
EMBSECBIO_a20	Veronica	Veronica-type	HERB	1	0.41322314
EMBSECBIO_a20	Xanthium	Xanthium	HERB	1	0.41322314
EMBSECBIO_a20	Polypodium	Polypodium	VACR	4	1.6528926
EMBSECBIO_a20	Polypodium vulgare	Polypodium	VACR	14	5.785124
EMBSECBIO_a20	Polygonum amphibium	Persicaria amphibia	AQUA	1	0.41322314
