samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
EMBSECBIO_a22	6	6	6	Apiaceae	Apiaceae	HERB
EMBSECBIO_a22	13	17	13	Brassicaceae	Brassicaceae	HERB
EMBSECBIO_a22	16	4	16	Carpinus	Carpinus betulus	TRSH
EMBSECBIO_a22	18	2	18	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
EMBSECBIO_a22	32	1	32	Cyclamen	Cyclamen	HERB
EMBSECBIO_a22	41	1	41	Fabaceae	Fabaceae	HERB
EMBSECBIO_a22	58	1	58	Juniperus	Juniperus communis-type	TRSH
EMBSECBIO_a22	123	11	123	Larix	Larix/Pseudotsuga	TRSH
EMBSECBIO_a22	163	2	163	Convolvulaceae	Convolvulaceae	HERB
EMBSECBIO_a22	606	3	606	Gentiana	Gentiana	HERB
EMBSECBIO_a22	613	3	613	Lilium	Lilium	HERB
EMBSECBIO_a22	707	32	24	Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB
EMBSECBIO_a22	761	21	160	Asteroideae	Asteraceae subf. Asteroideae	HERB
EMBSECBIO_a22	1032	6	25	Asteraceae (Liguliflorae)	Asteraceae subf. Cichorioideae	HERB
EMBSECBIO_a22	2594	1	1537	Cystopteris fragilis	Cystopteris fragilis	VACR
EMBSECBIO_a22	3903	2	229	Dipsacus-type	Dipsacus-type	HERB
EMBSECBIO_a22	139	19	139	Polemonium	Polemonium	HERB
EMBSECBIO_a22	141	5	141	Rubus	Rubus	TRSH
EMBSECBIO_a22	169	1	169	Polemoniaceae	Polemoniaceae	HERB
EMBSECBIO_a22	427	2	85	Quercus evergreen	Quercus ilex-type	TRSH
EMBSECBIO_a22	481	1	407	Sambucus	Sambucus	TRSH
EMBSECBIO_a22	529	4	224	Veronica	Veronica-type	HERB
EMBSECBIO_a22	667	5	214	Polypodium vulgare	Polypodium	VACR
EMBSECBIO_a22	748	3	430	Viola	Viola	HERB
EMBSECBIO_a22	954	4	87	Ranunculus acris	Ranunculus acris-type	HERB
EMBSECBIO_a22	1044	5	1044	Xanthium	Xanthium	HERB
EMBSECBIO_a22	1073	4	65	Mentha-type	Mentha-type	HERB
EMBSECBIO_a22	1082	1	1082	Rheum	Rheum	HERB
EMBSECBIO_a22	1719	38	1506	Polygonum amphibium	Persicaria amphibia	AQUA
EMBSECBIO_a22	1836	2	1665	Matthiola	Matthiola	HERB
EMBSECBIO_a22	3276	2	3276	Limonium	Limonium	HERB
EMBSECBIO_a22	4698	4	6	Turgenia-type	Apiaceae	HERB
EMBSECBIO_a22	4737	1	2166	Veratrum-type	Veratrum	HERB
EMBSECBIO_a22	5171	8	124	Pinus (Haploxylon)	Pinus cembra-type	TRSH
EMBSECBIO_a22	5223	1	6	Torilis	Apiaceae	HERB
