	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	EPDcoretop_E1109	1	3	1	Abies	Abies	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	189	1.5873016
1	EPDcoretop_E1109	4	1	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	189	0.52910053
2	EPDcoretop_E1109	5	1	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	189	0.52910053
3	EPDcoretop_E1109	59	1	9	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	189	0.52910053
4	EPDcoretop_E1109	15	1	15	Juglans	Juglans	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	189	0.52910053
5	EPDcoretop_E1109	85	1	85	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	189	0.52910053
6	EPDcoretop_E1109	16	30	16	Larix	Larix/Pseudotsuga	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	189	15.873016
7	EPDcoretop_E1109	18	26	18	Picea	Picea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	189	13.756614
8	EPDcoretop_E1109	19	62	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	189	32.804233
9	EPDcoretop_E1109	107	2	107	Populus	Populus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	189	1.0582011
10	EPDcoretop_E1109	3381	1	3381	Compositae subfam. Asteroideae	Compositae subfam. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	189	0.52910053
11	EPDcoretop_E1109	61	44	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	189	23.280423
12	EPDcoretop_E1109	2583	1	69	Papilionaceae	Fabaceae	HERB	Herbs	HERB	True	True	Herbs	5	189	0.52910053
13	EPDcoretop_E1109	510	1	510	Geranium	Geranium	HERB	Herbs	HERB	True	True	Herbs	5	189	0.52910053
14	EPDcoretop_E1109	1402	1	1316	Parnassia palustris	Parnassia palustris	HERB	Herbs	HERB	True	True	Herbs	5	189	0.52910053
15	EPDcoretop_E1109	1179	2	709	Plantago media	Plantago media	HERB	Herbs	HERB	True	True	Herbs	5	189	1.0582011
16	EPDcoretop_E1109	1611	9	106	Gramineae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	189	4.7619048
17	EPDcoretop_E1109	156	1	156	Ranunculaceae	Ranunculaceae	HERB	Herbs	HERB	True	True	Herbs	5	189	0.52910053
18	EPDcoretop_E1109	663	1	663	Urtica	Urtica	HERB	Herbs	HERB	True	True	Herbs	5	189	0.52910053
