samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
EPDcoretop_E1598	1098	7	177	Varia	Indeterminable: unknown	INUN
EPDcoretop_E1598	2	2	2	Acer	Acer campestre-type	TRSH
EPDcoretop_E1598	5	24	5	Alnus	Alnus	TRSH
EPDcoretop_E1598	7	1	7	Artemisia	Artemisia	HERB
EPDcoretop_E1598	12	76	12	Betula	Betula	TRSH
EPDcoretop_E1598	24	1	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
EPDcoretop_E1598	31	16	31	Corylus avellana	Corylus	TRSH
EPDcoretop_E1598	45	1	45	Filipendula	Filipendula	HERB
EPDcoretop_E1598	60	10	60	Plantago lanceolata	Plantago lanceolata-type	HERB
EPDcoretop_E1598	75	217	75	Pinus	Pinus	TRSH
EPDcoretop_E1598	144	1	144	Sphagnum	Sphagnum	BRYO
EPDcoretop_E1598	154	1	154	Ulmus	Ulmus/Zelkova	TRSH
EPDcoretop_E1598	187	1	187	Tilia	Tilia	TRSH
EPDcoretop_E1598	189	13	189	Quercus	Quercus	TRSH
EPDcoretop_E1598	192	55	42	Fagus	Fagus	TRSH
EPDcoretop_E1598	256	21	256	Secale cereale	Secale cereale	HERB
EPDcoretop_E1598	482	3	13	Cruciferae	Brassicaceae	HERB
EPDcoretop_E1598	552	1	366	Isoetes	Isoetes	AQPT
EPDcoretop_E1598	563	4	16	Carpinus betulus	Carpinus betulus	TRSH
EPDcoretop_E1598	634	2	95	Rumex acetosa-type	Rumex acetosa-type	HERB
EPDcoretop_E1598	716	2	130	Ericaceae undiff.	Ericales (tetrad)	DWAR
EPDcoretop_E1598	759	77	321	Abies alba	Abies	TRSH
EPDcoretop_E1598	783	252	783	Picea abies	Picea abies-type	TRSH
EPDcoretop_E1598	822	2	22	Cerealia undiff.	Cerealia-type	HERB
EPDcoretop_E1598	1215	11	1111	Avena-type	Avena-type	HERB
EPDcoretop_E1598	1267	1	73	Peucedanum-type	Peucedanum-type	HERB
EPDcoretop_E1598	1348	1	79	Plantago major-type	Plantago major	HERB
EPDcoretop_E1598	1524	1	1108	Spiraea	Aruncus/Spiraea	HERB
EPDcoretop_E1598	1601	37	80	Gramineae	Poaceae	HERB
EPDcoretop_E1598	2121	1	1320	Gymnocarpium dryopteris	Gymnocarpium dryopteris	VACR
EPDcoretop_E1598	2362	1	389	Polygonum bistorta-type	Polygonum bistorta-type	HERB
EPDcoretop_E1598	2575	1	41	Papilionaceae	Fabaceae	HERB
EPDcoretop_E1598	3630	130	3630	Botryococcus pila	Botryococcus pila	ALGA
EPDcoretop_E1598	3822	2	160	Compositae subf. Asteroideae	Asteraceae subf. Asteroideae	HERB
EPDcoretop_E1598	3879	1	3879	Daphne	Daphne	DWAR
EPDcoretop_E1598	4197	127	146	Monolete spore(s)	Monolete fern spores	VACR
EPDcoretop_E1598	4725	6	4725	Vaccinium	Vaccinium	DWAR
