samplename	original_varname	acc_varname	groupid	count	percentage
EPDcoretop_E2576	Acer	Acer campestre-type	TRSH	3	0.48701299
EPDcoretop_E2576	Arbutus unedo	Arbutus	TRSH	4	0.64935065
EPDcoretop_E2576	Betula	Betula	TRSH	55	8.9285714
EPDcoretop_E2576	Castanea sativa	Castanea sativa	TRSH	7	1.1363636
EPDcoretop_E2576	Cistus ladanifer-type	Cistus ladanifer-type	TRSH	15	2.4350649
EPDcoretop_E2576	Erica-type	Erica	TRSH	54	8.7662338
EPDcoretop_E2576	Fraxinus	Fraxinus	TRSH	9	1.461039
EPDcoretop_E2576	Cytisus/Genista-type	Genista-type	TRSH	7	1.1363636
EPDcoretop_E2576	Ilex aquifolium	Ilex	TRSH	11	1.7857143
EPDcoretop_E2576	Lavandula stoechas-type	Lavandula	TRSH	3	0.48701299
EPDcoretop_E2576	Pinus pinaster	Pinus pinaster	TRSH	53	8.6038961
EPDcoretop_E2576	Quercus suber-type	Quercus cerris-type	TRSH	8	1.2987013
EPDcoretop_E2576	Quercus ilex-type	Quercus ilex-type	TRSH	87	14.123377
EPDcoretop_E2576	Quercus pyrenaica-type	Quercus robur-type	TRSH	98	15.909091
EPDcoretop_E2576	Salix	Salix	TRSH	9	1.461039
EPDcoretop_E2576	Taxus baccata	Taxus baccata	TRSH	9	1.461039
EPDcoretop_E2576	Compositae subf. Asteroideae undiff.	Asteraceae subf. Asteroideae	HERB	21	3.4090909
EPDcoretop_E2576	Compositae subf. Cichorioideae undiff.	Asteraceae subf. Cichorioideae	HERB	17	2.7597403
EPDcoretop_E2576	Cyperaceae	Cyperaceae	HERB	45	7.3051948
EPDcoretop_E2576	Lamiaceae undiff.	Lamiaceae	HERB	6	0.97402597
EPDcoretop_E2576	Poaceae	Poaceae	HERB	67	10.876623
EPDcoretop_E2576	Osmunda regalis	Osmunda regalis	VACR	2	0.32467532
EPDcoretop_E2576	Pteridium aquilinum	Pteridium aquilinum	VACR	23	3.7337662
EPDcoretop_E2576	Filicales triletes undiff.	Trilete spore(s)	VACR	3	0.48701299
EPDcoretop_E2576	Byssothecium circinans	Byssothecium circinans	FUNG	9	
EPDcoretop_E2576	Type HdV-18	Type HdV-18	FUNG	128	
