samplename	original_varname	acc_varname	groupid	count	percentage
Edwards_a15	Alnus glutinosa	Alnus glutinosa-type	TRSH	4	1
Edwards_a15	Betula	Betula	TRSH	9	2.25
Edwards_a15	Calluna vulgaris	Calluna vulgaris	TRSH	60	15
Edwards_a15	Corylus avellana-type	Corylus avellana-type	TRSH	14	3.5
Edwards_a15	Erica tetralix-type	Erica tetralix-type	DWAR	12	3
Edwards_a15	Pinus sylvestris	Pinus sylvestris-type	TRSH	3	0.75
Edwards_a15	Quercus	Quercus	TRSH	3	0.75
Edwards_a15	Salix	Salix	TRSH	12	3
Edwards_a15	Ulmus	Ulmus/Zelkova	TRSH	2	0.5
Edwards_a15	Vaccinium-type	Vaccinium-type	DWAR	3	0.75
Edwards_a15	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	2	0.5
Edwards_a15	Cyperaceae class 2	Cyperaceae class 2	HERB	62	15.5
Edwards_a15	Cyperaceae class 3	Cyperaceae class 3	HERB	25	6.25
Edwards_a15	Plantago lanceolata	Plantago lanceolata-type	HERB	2	0.5
Edwards_a15	Poaceae class 2	Poaceae class 2	HERB	4	1
Edwards_a15	Poaceae class 3	Poaceae class 3	HERB	39	9.75
Edwards_a15	Potentilla-type	Potentilla-type	HERB	46	11.5
Edwards_a15	Ranunculus acris-type	Ranunculus acris-type	HERB	4	1
Edwards_a15	Rubiaceae	Rubiaceae	HERB	4	1
Edwards_a15	Violaceae	Viola	HERB	3	0.75
Edwards_a15	Polypodium	Polypodium	VACR	10	2.5
Edwards_a15	Pteridium aquilinum	Pteridium aquilinum	VACR	11	2.75
Edwards_a15	Pteridophyta spore	Pteridophyta spore	VACR	66	16.5
Edwards_a15	Sphagnum	Sphagnum	NOPO	45	
