samplename	original_varname	acc_varname	groupid	count	percentage
Ejarque_a22	Abies	Abies	TRSH	1	0.23696682
Ejarque_a22	Alnus glutinosa	Alnus glutinosa-type	TRSH	1	0.23696682
Ejarque_a22	Betula	Betula	TRSH	89	21.090047
Ejarque_a22	Buxus	Buxus	TRSH	2	0.47393365
Ejarque_a22	Calluna vulgaris	Calluna vulgaris	TRSH	5	1.1848341
Ejarque_a22	Castanea	Castanea sativa	TRSH	1	0.23696682
Ejarque_a22	Corylus	Corylus	TRSH	1	0.23696682
Ejarque_a22	Fagus	Fagus	TRSH	1	0.23696682
Ejarque_a22	Juniperus	Juniperus communis-type	TRSH	2	0.47393365
Ejarque_a22	Olea europaea	Olea europaea	TRSH	4	0.9478673
Ejarque_a22	Pinus	Pinus	TRSH	243	57.582938
Ejarque_a22	Prunus	Prunus-type	TRSH	1	0.23696682
Ejarque_a22	Quercus ilex-type	Quercus ilex-type	TRSH	1	0.23696682
Ejarque_a22	Quercus deciduous	Quercus robur-type	TRSH	24	5.6872038
Ejarque_a22	Rosaceae	Rosaceae	TRSH	1	0.23696682
Ejarque_a22	Salix	Salix	TRSH	1	0.23696682
Ejarque_a22	Apiaceae	Apiaceae	HERB	2	0.47393365
Ejarque_a22	Artemisia	Artemisia	HERB	2	0.47393365
Ejarque_a22	Asteroideae	Asteraceae subf. Asteroideae	HERB	1	0.23696682
Ejarque_a22	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	1	0.23696682
Ejarque_a22	Brassicaceae	Brassicaceae	HERB	4	0.9478673
Ejarque_a22	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	6	1.4218009
Ejarque_a22	Cyperaceae	Cyperaceae	HERB	1	0.23696682
Ejarque_a22	Lotus-type	Lotus-type	HERB	1	0.23696682
Ejarque_a22	Plantago	Plantago	HERB	2	0.47393365
Ejarque_a22	Plantago lanceolata-type	Plantago lanceolata-type	HERB	1	0.23696682
Ejarque_a22	Poaceae	Poaceae	HERB	9	2.1327014
Ejarque_a22	Potentilla-type	Potentilla-type	HERB	1	0.23696682
Ejarque_a22	Ranunculus-type	Ranunculus-type	HERB	2	0.47393365
Ejarque_a22	Euphrasia	Rhinanthus-type	HERB	1	0.23696682
Ejarque_a22	Rumex sanguineus-group	Rumex sanguineus-group	HERB	1	0.23696682
Ejarque_a22	Rumex	Rumex/Oxyria	HERB	2	0.47393365
Ejarque_a22	Saxifragaceae	Saxifragaceae	HERB	1	0.23696682
Ejarque_a22	Varia	Indeterminable: unknown	INUN	28	
Ejarque_a22	Lycopodium	Lycopodium	VACR	5	1.1848341
Ejarque_a22	Lycopodium (grains/tablet)	Lycopodium (spores/tablet)	NOPO	13100	
Ejarque_a22	Lycopodium tablets (number)	Lycopodium tablets (number)	NOPO	10	
Ejarque_a22	Monolete spore(s)	Monolete spore(s)	VACR	1	0.23696682
Ejarque_a22	Sample dry mass (g)	Sample dry mass (g)	NOPO	11	
