samplename	original_varname	acc_varname	groupid	count	percentage
Fall_a20	Corylus	Corylus	TRSH	6	1
Fall_a20	Ephedra	Ephedra	TRSH	3	0.5
Fall_a20	Eucalyptus	Eucalyptus	TRSH	5	0.83
Fall_a20	Juniperus	Juniperus communis-type	TRSH	16	2.66
Fall_a20	Olea	Olea europaea	TRSH	36	5.98
Fall_a20	Pinus	Pinus	TRSH	19	3.16
Fall_a20	Pistacia	Pistacia	TRSH	11	1.83
Fall_a20	Quercus	Quercus	TRSH	26	4.32
Fall_a20	Tamarix	Tamarix	TRSH	59	9.8
Fall_a20	Thymelaeaceae	Thymelaeaceae	DWAR	3	0.5
Fall_a20	Alkanna-type	Alkanna-type	HERB	15	2.49
Fall_a20	Apiaceae	Apiaceae	HERB	2	0.33
Fall_a20	Artemisia	Artemisia	HERB	15	2.49
Fall_a20	Tubuliflorae	Asteraceae subf. Asteroideae	HERB	22	3.65
Fall_a20	Liguliflorae	Asteraceae subf. Cichorioideae	HERB	17	2.82
Fall_a20	Carduus-type	Carduus-type	HERB	1	0.17
Fall_a20	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	18	2.99
Fall_a20	Cerealia-type	Cerealia-type	HERB	17	2.82
Fall_a20	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	209	34.72
Fall_a20	Cistaceae	Cistaceae	HERB	1	0.17
Fall_a20	Papilionaceae	Fabaceae	HERB	15	2.49
Fall_a20	Anthemis-type	Matricaria-type	HERB	2	0.33
Fall_a20	Plantago	Plantago	HERB	55	9.14
Fall_a20	Poaceae	Poaceae	HERB	29	4.82
Fall_a20	Indeterminable: unknown	Indeterminable: unknown	INUN	111	
Fall_a20	Unknown	Indeterminable: unknown	INUN	2	
