	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Fall_a4	9	1	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	541	0.18484288
1	Fall_a4	85	3	85	Juniperus	Juniperus communis-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	541	0.55452865
2	Fall_a4	455	2	95	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	541	0.36968577
3	Fall_a4	19	1	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	541	0.18484288
4	Fall_a4	208	12	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	541	2.2181146
5	Fall_a4	4214	4	2088	Thymelaeaceae	Thymelaeaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	541	0.73937153
6	Fall_a4	3095	1	3095	Anchusa-type	Anchusa-type	HERB	Herbs	HERB	True	True	Herbs	5	541	0.18484288
7	Fall_a4	37	325	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	541	60.073937
8	Fall_a4	722	15	180	Tubuliflorae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	541	2.7726433
9	Fall_a4	721	32	53	Liguliflorae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	541	5.9149723
10	Fall_a4	42	2	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	541	0.36968577
11	Fall_a4	46	1	46	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	541	0.18484288
12	Fall_a4	3246	41	3246	Centaurea-type	Centaurea-type	HERB	Herbs	HERB	True	True	Herbs	5	541	7.5785582
13	Fall_a4	52	31	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	541	5.7301294
14	Fall_a4	1338	1	1338	Convolvulus	Convolvulus	HERB	Herbs	HERB	True	True	Herbs	5	541	0.18484288
15	Fall_a4	184	1	184	Dipsacaceae	Dipsacaceae	HERB	Herbs	HERB	True	True	Herbs	5	541	0.18484288
16	Fall_a4	2583	6	69	Papilionaceae	Fabaceae	HERB	Herbs	HERB	True	True	Herbs	5	541	1.1090573
17	Fall_a4	89	2	89	Liliaceae	Liliaceae-type	HERB	Herbs	HERB	True	True	Herbs	5	541	0.36968577
18	Fall_a4	600	1	34	Anthemis-type	Matricaria-type	HERB	Herbs	HERB	True	True	Herbs	5	541	0.18484288
19	Fall_a4	735	27	286	Plantago	Plantago	HERB	Herbs	HERB	True	True	Herbs	5	541	4.9907579
20	Fall_a4	106	32	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	541	5.9149723
21	Fall_a4	3631	32	197	Indeterminable: unknown	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	541	
