samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Fall_b20	203	275	203	Juniperus type	Juniperus-type	TRSH
Fall_b20	1612	38	203	Cupressus type	Juniperus-type	TRSH
Fall_b20	57	1	57	Juglans	Juglans	TRSH
Fall_b20	442	20	68	Olea	Olea europaea	TRSH
Fall_b20	77	4	77	Pistacia	Pistacia	TRSH
Fall_b20	1615	63	75	Pinus sp	Pinus	TRSH
Fall_b20	500	1	414	Tamarix	Tamarix	TRSH
Fall_b20	92	2	92	Rosaceae	Rosaceae	TRSH
Fall_b20	586	1	586	Ambrosia	Ambrosia	HERB
Fall_b20	1627	3	1136	Apiaceae, Eryngium	Eryngium	HERB
Fall_b20	1628	1	610	Apiaceae, Heracleum	Heracleum	HERB
Fall_b20	1640	1	603	Asteraceae Circium type	Cirsium	HERB
Fall_b20	1647	2	133	Asteraceae, Senecio type	Senecio-type	HERB
Fall_b20	1649	2	13	Brassica	Brassicaceae	HERB
Fall_b20	1654	6	24	Chenopodiaceae Sueda/Atriplex type	Chenopodiaceae/Amaranthaceae	HERB
Fall_b20	1655	1	24	Chenopodiaceae, Salsola type	Chenopodiaceae/Amaranthaceae	HERB
Fall_b20	59	2	59	Lamiaceae	Lamiaceae	HERB
Fall_b20	1328	1	1328	Convolvulus	Convolvulus	HERB
Fall_b20	80	6	80	Poaceae	Poaceae	HERB
Fall_b20	1672	3	22	Poaceae Cerealia	Cerealia-type	HERB
Fall_b20	492	1	492	Solanaceae	Solanaceae	HERB
Fall_b20	1637	1	29	Asteraceae Centaurea sol.	Centaurea nigra-type	HERB
