samplename	original_varname	acc_varname	groupid	count	percentage
Finsinger_a29	Abies	Abies	TRSH	9	2.4861878
Finsinger_a29	Alnus glutinosa-type	Alnus glutinosa-type	TRSH	61	16.850829
Finsinger_a29	Castanea sativa	Castanea sativa	TRSH	2	0.55248619
Finsinger_a29	Corylus avellana	Corylus	TRSH	15	4.1436464
Finsinger_a29	Ephedra distachya-type	Ephedra distachya-type	TRSH	1	0.27624309
Finsinger_a29	Ephedra fragilis-type	Ephedra fragilis-type	TRSH	1	0.27624309
Finsinger_a29	Fagus	Fagus	TRSH	28	7.7348066
Finsinger_a29	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	3	0.82872928
Finsinger_a29	Fraxinus ornus	Fraxinus ornus	TRSH	1	0.27624309
Finsinger_a29	Juniperus	Juniperus-type	TRSH	4	1.1049724
Finsinger_a29	Olea	Olea europaea	TRSH	4	1.1049724
Finsinger_a29	Ostrya-type	Ostrya/Carpinus orientalis	TRSH	1	0.27624309
Finsinger_a29	Pinus sylvestris-type	Pinus sylvestris-type	TRSH	4	1.1049724
Finsinger_a29	Populus	Populus	TRSH	2	0.55248619
Finsinger_a29	Quercus cerris-type	Quercus cerris-type	TRSH	13	3.5911602
Finsinger_a29	Quercus ilex-type	Quercus ilex-type	TRSH	1	0.27624309
Finsinger_a29	Quercus rob.-pub.-type	Quercus robur-type	TRSH	6	1.6574586
Finsinger_a29	Salix	Salix	TRSH	2	0.55248619
Finsinger_a29	Vaccinium-type	Vaccinium-type	TRSH	2	0.55248619
Finsinger_a29	Bupleurum-type	Apiaceae	HERB	1	0.27624309
Finsinger_a29	Artemisia	Artemisia	HERB	8	2.2099448
Finsinger_a29	Compositae Subfam. Asteroideae	Asteraceae subf. Asteroideae	HERB	13	3.5911602
Finsinger_a29	Compositae Subfam. Cichorioideae	Asteraceae subf. Cichorioideae	HERB	17	4.6961326
Finsinger_a29	Lotus-type	Astragalus-type	HERB	1	0.27624309
Finsinger_a29	Cruciferae	Brassicaceae	HERB	1	0.27624309
Finsinger_a29	Sagina	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	5	1.3812155
Finsinger_a29	Chenopodiaceae-type	Chenopodiaceae/Amaranthaceae	HERB	4	1.1049724
Finsinger_a29	Plantago lanceolata-type	Plantago lanceolata-type	HERB	2	0.55248619
Finsinger_a29	Gramineae	Poaceae	HERB	100	27.624309
Finsinger_a29	Polygonum aviculare	Polygonum aviculare-type	HERB	3	0.82872928
Finsinger_a29	Rumex acetosa-type	Rumex acetosa-type	HERB	8	2.2099448
Finsinger_a29	Thesium humifusum	Thesium	HERB	3	0.82872928
Finsinger_a29	Urtica pilulifera	Urtica pilulifera	HERB	1	0.27624309
Finsinger_a29	Valeriana dioica-type	Valeriana dioica	HERB	1	0.27624309
Finsinger_a29	Cryptogramma crispa	Cryptogramma crispa	VACR	2	0.55248619
Finsinger_a29	Polypodium vulgare-type	Polypodium	VACR	32	8.839779
