samplename	original_varname	acc_varname	groupid	count	percentage	notes
Finsinger_a39	Acer	Acer campestre-type	TRSH	1	0.27548209	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Alnus glutinosa-type	Alnus glutinosa-type	TRSH	4	1.1019284	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	BETULA	Betula	TRSH	1	0.27548209	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Carpinus	Carpinus betulus	TRSH	2	0.55096419	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Castanea sativa	Castanea sativa	TRSH	39	10.743802	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Cedrus	Cedrus	TRSH	6	1.6528926	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Corylus avellana	Corylus	TRSH	15	4.1322314	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Eucalyptus	Eucalyptus	TRSH	2	0.55096419	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Fagus	Fagus	TRSH	3	0.82644628	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Fraxinus ornus	Fraxinus ornus	TRSH	5	1.3774105	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Hedera-type	Hedera	TRSH	1	0.27548209	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Juglans	Juglans	TRSH	1	0.27548209	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Juniperus	Juniperus-type	TRSH	39	10.743802	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Ligustrum	Ligustrum	TRSH	1	0.27548209	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Olea	Olea europaea	TRSH	14	3.8567493	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Ostrya-type	Ostrya/Carpinus orientalis	TRSH	22	6.0606061	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Phillyrea	Phillyrea	TRSH	3	0.82644628	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Pinus sylvestris-type	Pinus sylvestris-type	TRSH	29	7.9889807	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Pistacia	Pistacia	TRSH	2	0.55096419	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Platanus	Platanus	TRSH	2	0.55096419	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Populus	Populus	TRSH	2	0.55096419	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Quercus cerris-type	Quercus cerris-type	TRSH	31	8.5399449	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Quercus ilex-type	Quercus ilex-type	TRSH	29	7.9889807	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Quercus rob.-pub.-type	Quercus robur-type	TRSH	13	3.5812672	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Salix	Salix	TRSH	3	0.82644628	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Sambucus	Sambucus	TRSH	3	0.82644628	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Ulmus	Ulmus/Zelkova	TRSH	4	1.1019284	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Finsinger_a39	Artemisia	Artemisia	HERB	2	0.55096419	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Finsinger_a39	Compositae Subfam. Asteroideae	Asteraceae subf. Asteroideae	HERB	2	0.55096419	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Finsinger_a39	Compositae Subfam. Cichorioideae	Asteraceae subf. Cichorioideae	HERB	2	0.55096419	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Finsinger_a39	Cerealia	Avena-type	HERB	1	0.27548209	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Finsinger_a39	Cruciferae	Brassicaceae	HERB	2	0.55096419	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
