samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Finsinger_a85	560	2	321	Abies	Abies	TRSH
Finsinger_a85	155	5	155	Alnus glutinosa-type	Alnus glutinosa-type	TRSH
Finsinger_a85	330	8	12	BETULA	Betula	TRSH
Finsinger_a85	16	1	16	Carpinus	Carpinus betulus	TRSH
Finsinger_a85	19	6	19	Castanea sativa	Castanea sativa	TRSH
Finsinger_a85	31	25	31	Corylus avellana	Corylus	TRSH
Finsinger_a85	576	1	340	Cedrus	Cedrus	TRSH
Finsinger_a85	47	1	47	Fraxinus excelsior	Fraxinus excelsior-type	TRSH
Finsinger_a85	192	16	42	Fagus	Fagus	TRSH
Finsinger_a85	44	13	44	Fraxinus ornus	Fraxinus ornus	TRSH
Finsinger_a85	123	5	123	Larix	Larix/Pseudotsuga	TRSH
Finsinger_a85	1728	13	203	Juniperus	Juniperus-type	TRSH
Finsinger_a85	572	85	70	Ostrya-type	Ostrya/Carpinus orientalis	TRSH
Finsinger_a85	126	22	126	Picea	Picea	TRSH
Finsinger_a85	78	2	78	Platanus	Platanus	TRSH
Finsinger_a85	1051	1	84	Quercus cerris-type	Quercus cerris-type	TRSH
Finsinger_a85	1052	2	85	Quercus ilex-type	Quercus ilex-type	TRSH
Finsinger_a85	99	3	99	Salix	Salix	TRSH
Finsinger_a85	481	3	407	Sambucus	Sambucus	TRSH
Finsinger_a85	122	2	122	Vitis	Vitis	TRSH
Finsinger_a85	154	1	154	Ulmus	Ulmus/Zelkova	TRSH
Finsinger_a85	7	2	7	Artemisia	Artemisia	HERB
Finsinger_a85	1421	1	228	Ambrosia-type	Ambrosia/Xanthium	HERB
Finsinger_a85	2552	1	267	Centaurea nigra-type	Centaurea	HERB
Finsinger_a85	2558	2	24	Chenopodiaceae-type	Chenopodiaceae/Amaranthaceae	HERB
Finsinger_a85	45	1	45	Filipendula	Filipendula	HERB
Finsinger_a85	828	4	828	Humulus lupulus	Humulus lupulus	HERB
Finsinger_a85	1601	41	80	Gramineae	Poaceae	HERB
Finsinger_a85	473	2	473	Melampyrum	Melampyrum	HERB
Finsinger_a85	1075	3	60	Plantago lanceolata-type	Plantago lanceolata-type	HERB
Finsinger_a85	2578	1	458	Plantago maior/media	Plantago major/P. media-type	HERB
Finsinger_a85	2588	1	2588	Thesium humifusum	Thesium	HERB
Finsinger_a85	2590	12	2590	Valeriana dioica-type	Valeriana dioica	HERB
Finsinger_a85	2596	1	214	Polypodium vulgare-type	Polypodium	VACR
Finsinger_a85	81	1	81	Populus	Populus	TRSH
Finsinger_a85	561	3	129	Alnus viridis	Alnus viridis	TRSH
Finsinger_a85	573	6	124	Pinus cembra	Pinus cembra-type	TRSH
Finsinger_a85	942	1	942	Vaccinium-type	Vaccinium-type	TRSH
Finsinger_a85	1226	68	125	Pinus sylvestris-type	Pinus sylvestris-type	TRSH
Finsinger_a85	1227	1	82	Prunus-type	Prunus-type	TRSH
Finsinger_a85	2540	1	565	Loiseleuria procumbens-type	Loiseleuria procumbens	DWAR
Finsinger_a85	2541	12	86	Quercus rob.-pub.-type	Quercus robur-type	TRSH
Finsinger_a85	2542	2	89	Rhamnus-type	Rhamnus-type	TRSH
Finsinger_a85	2547	1	2547	Anthericum-type	Anthericum	HERB
Finsinger_a85	2565	1	2565	Helianthemum	Cistus/Helianthemum	TRSH
