samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Fletcher_a10	39	1	39	Eucalyptus	Eucalyptus	TRSH
Fletcher_a10	75	10.5	75	Pinus	Pinus	TRSH
Fletcher_a10	438	2	84	Quercus suber	Quercus cerris-type	TRSH
Fletcher_a10	442	4	68	Olea	Olea europaea	TRSH
Fletcher_a10	221	9	60	Plantago lanceolata type	Plantago lanceolata-type	HERB
Fletcher_a10	604	1	242	Echium	Echium	HERB
Fletcher_a10	616	50	30	Plantago coronopus type	Plantago coronopus-type	HERB
Fletcher_a10	946	1	18	Caryophyllaceae undiff.	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Fletcher_a10	1042	2	115	Trifolium type	Trifolium-type	HERB
Fletcher_a10	1729	1	85	Quercus coccifera type	Quercus ilex-type	TRSH
Fletcher_a10	1854	25	270	Plantago undiff.	Plantago	HERB
Fletcher_a10	2175	3	26	Cistaceae undiff.	Cistaceae	HERB
Fletcher_a10	2196	5	177	Indeterminate	Indeterminable: unknown	INUN
Fletcher_a10	2197	1	2197	Pre-Quaternary	Pre-Quaternary type	PREQ
Fletcher_a10	24	777	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Fletcher_a10	33	2	33	Cyperaceae	Cyperaceae	HERB
Fletcher_a10	80	46	80	Poaceae	Poaceae	HERB
Fletcher_a10	190	7	190	Fraxinus	Fraxinus	TRSH
Fletcher_a10	500	12	414	Tamarix	Tamarix	TRSH
Fletcher_a10	1107	3	6	Apiaceae undiff.	Apiaceae	HERB
Fletcher_a10	2186	99	25	Asteraceae (Lactuc.)	Asteraceae subf. Cichorioideae	HERB
Fletcher_a10	2188	2	366	Isoetes undiff.	Isoetes	AQPT
Fletcher_a10	2191	1	321	Caryo. Trizoncolpate indet.	Abies	TRSH
Fletcher_a10	2173	9	189	Quercus undiff.	Quercus	TRSH
Fletcher_a10	2185	36	160	Asteraceae (Asteroid./Card.)	Asteraceae subf. Asteroideae	HERB
