samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Furlanetto_a6	655	3	655	Granuli nd	Indeterminable: undiff.	INUN
Furlanetto_a6	660	1	308	Arcella	Arcella	RHIZ
Furlanetto_a6	671	1	558	Podospora	Podospora-type	FUNG
Furlanetto_a6	678	1	557	Sporormiella type	Sporormiella-type	FUNG
Furlanetto_a6	687	17	687	Assulina	Assulina	RHIZ
Furlanetto_a6	559	42	559	Lycopodium (counted)	Lycopodium (counted)	NOPO
Furlanetto_a6	692	38664	692	Lycopodium (added)	Lycopodium (added)	NOPO
Furlanetto_a6	694	48	693	Sample quantity (cm3)	Volume of sample (cm3)	NOPO
Furlanetto_a6	695	11737	695	Pollen concentration	Concentration pollen	NOPO
Furlanetto_a6	6	2	6	Apiaceae	Apiaceae	HERB
Furlanetto_a6	7	5	7	Artemisia	Artemisia	HERB
Furlanetto_a6	12	12	12	Betula	Betula	TRSH
Furlanetto_a6	13	15	13	Brassicaceae	Brassicaceae	HERB
Furlanetto_a6	22	2	22	Cerealia	Cerealia-type	HERB
Furlanetto_a6	24	2	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Furlanetto_a6	40	2	40	Euphorbia	Euphorbia	HERB
Furlanetto_a6	57	1	57	Juglans	Juglans	TRSH
Furlanetto_a6	58	2	58	Juniperus	Juniperus communis-type	TRSH
Furlanetto_a6	99	2	99	Salix	Salix	TRSH
Furlanetto_a6	107	3	107	Sorbus	Sorbus-type	TRSH
Furlanetto_a6	122	2	122	Vitis	Vitis	TRSH
Furlanetto_a6	123	3	123	Larix	Larix/Pseudotsuga	TRSH
Furlanetto_a6	126	2	126	Picea	Picea	TRSH
Furlanetto_a6	135	13	135	Ranunculaceae	Ranunculaceae	HERB
Furlanetto_a6	154	3	154	Ulmus	Ulmus/Zelkova	TRSH
Furlanetto_a6	164	1	164	Dipsacaceae	Dipsacaceae	HERB
Furlanetto_a6	192	8	42	Fagus	Fagus	TRSH
Furlanetto_a6	201	64	31	Corylus	Corylus	TRSH
Furlanetto_a6	221	7	60	Plantago lanceolata type	Plantago lanceolata-type	HERB
Furlanetto_a6	222	4	79	Plantago major type	Plantago major	HERB
Furlanetto_a6	223	1	223	Plantago tenuiflora type	Plantago tenuiflora	HERB
Furlanetto_a6	441	65	19	Castanea	Castanea sativa	TRSH
Furlanetto_a6	540	7	540	Vaccinium	Vaccinium	TRSH
Furlanetto_a6	561	30	129	Alnus viridis	Alnus viridis	TRSH
Furlanetto_a6	562	2	155	Alnus glutinosa/A. incana	Alnus glutinosa-type	TRSH
Furlanetto_a6	563	5	16	Carpinus betulus	Carpinus betulus	TRSH
Furlanetto_a6	568	8	47	Fraxinus exc. type	Fraxinus excelsior-type	TRSH
Furlanetto_a6	569	5	44	Fraxinus ornus type	Fraxinus ornus	TRSH
Furlanetto_a6	572	31	70	Ostrya-type	Ostrya/Carpinus orientalis	TRSH
Furlanetto_a6	573	5	124	Pinus cembra	Pinus cembra-type	TRSH
Furlanetto_a6	575	40	125	Pinus sylvestris/mugo type	Pinus sylvestris-type	TRSH
Furlanetto_a6	579	7	85	Quercus ilex	Quercus ilex-type	TRSH
Furlanetto_a6	586	1	586	Ambrosia	Ambrosia	HERB
Furlanetto_a6	589	1	3	Anthemis-type	Matricaria-type	HERB
Furlanetto_a6	597	4	11	Aster-type	Aster-type	HERB
Furlanetto_a6	600	2	29	Centaurea jacea type	Centaurea nigra-type	HERB
Furlanetto_a6	604	1	242	Echium	Echium	HERB
Furlanetto_a6	609	2	52	Helianthemum undiff.	Helianthemum	HERB
Furlanetto_a6	611	2	611	Lotus-type	Lotus-type	HERB
Furlanetto_a6	616	4	30	Plantago coronopus type	Plantago coronopus-type	HERB
Furlanetto_a6	622	105	80	Poaceae_min 37	Poaceae	HERB
Furlanetto_a6	623	60	80	Poaceae_37-47	Poaceae	HERB
Furlanetto_a6	624	5	80	Poaceae mag 47 anulus min 11	Poaceae	HERB
Furlanetto_a6	625	8	625	Polygonum bistorta	Polygonum bistorta	HERB
Furlanetto_a6	626	11	512	Potentilla-type	Potentilla-type	HERB
Furlanetto_a6	629	2	274	Ranunculus	Ranunculus-type	HERB
Furlanetto_a6	630	25	87	Ranunculus acris-type	Ranunculus acris-type	HERB
Furlanetto_a6	634	4	95	Rumex acetosa-type	Rumex acetosa-type	HERB
Furlanetto_a6	635	7	635	Rumex scutatus type	Rumex scutatus-type	HERB
Furlanetto_a6	637	1	637	Sanguisorba dodecandra	Sanguisorba dodecandra	HERB
Furlanetto_a6	641	1	640	Saxifraga aizoides type	Saxifraga oppositifolia-type	HERB
Furlanetto_a6	644	3	105	Sedum type	Sedum-type	HERB
Furlanetto_a6	658	1	176	Sparganium	Sparganium-type	AQUA
Furlanetto_a6	665	12	146	Polypodiaceae (spore monolete undiff.)	Monolete fern spores	VACR
Furlanetto_a6	605	1	93	Galium-type	Rubiaceae	HERB
