samplename	original_varname	acc_varname	groupid	count	percentage
Grant_a5	Alnus glutinosa	Alnus glutinosa-type	TRSH	191	29.84
Grant_a5	Betula	Betula	TRSH	47	7.34
Grant_a5	Calluna vulgaris	Calluna vulgaris	DWAR	1	0.16
Grant_a5	Carpinus betulus	Carpinus betulus	TRSH	1	0.16
Grant_a5	Corylus avellana-type	Corylus	TRSH	30	4.69
Grant_a5	Fagus sylvatica	Fagus	TRSH	69	10.78
Grant_a5	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	5	0.78
Grant_a5	Pinus sylvestris	Pinus sylvestris-type	TRSH	149	23.28
Grant_a5	Quercus	Quercus	TRSH	41	6.41
Grant_a5	Salix	Salix	TRSH	22	3.44
Grant_a5	Tilia cordata	Tilia cordata-type	TRSH	1	0.16
Grant_a5	Apiaceae undiff.	Apiaceae	HERB	3	0.47
Grant_a5	Brassicaceae	Brassicaceae	HERB	2	0.31
Grant_a5	Callitriche	Callitriche	HERB	1	0.16
Grant_a5	Poaceae (annulus 8-10 um)	Cerealia-type	HERB	2	0.31
Grant_a5	Filipendula	Filipendula	HERB	3	0.47
Grant_a5	Geum	Geum-type	HERB	2	0.31
Grant_a5	Hydrocotyle vulgaris	Hydrocotyle	HERB	3	0.47
Grant_a5	Melampyrum	Melampyrum	HERB	1	0.16
Grant_a5	Mercurialis perennis	Mercurialis perennis-type	HERB	4	0.62
Grant_a5	Plantago lanceolata	Plantago lanceolata-type	HERB	1	0.16
Grant_a5	Poaceae undiff.	Poaceae	HERB	26	4.06
Grant_a5	Urtica dioica	Urtica dioica	HERB	1	0.16
Grant_a5	Bryophyta	Bryophyte spores	BRYO	2	0.31
Grant_a5	Monolete fern spores undiff.	Monolete fern spores	VACR	26	4.06
Grant_a5	Osmunda regalis	Osmunda regalis	VACR	1	0.16
Grant_a5	Pteridium aquilinum	Pteridium aquilinum	VACR	5	0.78
Grant_a5	Cladium mariscus	Cladium mariscus	AQUA	7	1.09
Grant_a5	Indeterminable: broken	Indeterminable: broken	INUN	1	
Grant_a5	Indeterminable: crumpled	Indeterminable: crumpled	INUN	2	
Grant_a5	Indeterminable: degraded	Indeterminable: degraded	INUN	1	
Grant_a5	Lycopodium (added)	Lycopodium (added)	NOPO	21358	
Grant_a5	Lycopodium (counted)	Lycopodium (counted)	NOPO	96	
Grant_a5	Sediment volume used (ml)	Sample volume (ml)	NOPO	1	
