samplename	original_varname	acc_varname	groupid	count	percentage
Hjelle_a27	Acer	Acer campestre-type	TRSH	1	0.079491256
Hjelle_a27	Alnus	Alnus	TRSH	69	5.4848967
Hjelle_a27	Betula	Betula	TRSH	102	8.1081081
Hjelle_a27	Calluna vulgaris	Calluna vulgaris	TRSH	19	1.5103339
Hjelle_a27	Corylus avellana	Corylus	TRSH	22	1.7488076
Hjelle_a27	Fraxinus	Fraxinus	TRSH	8	0.63593005
Hjelle_a27	Juniperus	Juniperus communis-type	TRSH	10	0.79491256
Hjelle_a27	Myrica gale	Myrica	TRSH	9	0.7154213
Hjelle_a27	Picea	Picea	TRSH	5	0.39745628
Hjelle_a27	Pinus sylvestris	Pinus sylvestris-type	TRSH	712	56.597774
Hjelle_a27	Populus	Populus	TRSH	1	0.079491256
Hjelle_a27	Quercus	Quercus	TRSH	5	0.39745628
Hjelle_a27	Rosaceae	Rosaceae	TRSH	1	0.079491256
Hjelle_a27	Ulmus	Ulmus/Zelkova	TRSH	8	0.63593005
Hjelle_a27	Asteraceae Cichorioideae	Asteraceae subf. Cichorioideae	HERB	2	0.15898251
Hjelle_a27	Avena type	Avena-type	HERB	2	0.15898251
Hjelle_a27	Centaurea nigra type	Centaurea nigra-type	HERB	1	0.079491256
Hjelle_a27	Cirsium type	Cirsium	HERB	1	0.079491256
Hjelle_a27	Cyperaceae	Cyperaceae	HERB	24	1.9077901
Hjelle_a27	Plantago lanceolata	Plantago lanceolata-type	HERB	3	0.23847377
Hjelle_a27	Poaceae	Poaceae	HERB	120	9.5389507
Hjelle_a27	Ranunculus acris type	Ranunculus acris-type	HERB	1	0.079491256
Hjelle_a27	Rumex sect. Acetosa	Rumex acetosa-type	HERB	1	0.079491256
Hjelle_a27	Solidago type	Senecio-type	HERB	1	0.079491256
Hjelle_a27	Spergula arvensis type	Spergularia-type	HERB	1	0.079491256
Hjelle_a27	Urtica	Urtica	HERB	1	0.079491256
Hjelle_a27	Gymnocarpium dryopteris type	Gymnocarpium dryopteris	VACR	2	0.15898251
Hjelle_a27	Polypodiaceae	Monolete fern spores	VACR	99	7.8696343
Hjelle_a27	Polypodium vulgare	Polypodium	VACR	24	1.9077901
Hjelle_a27	Pteridium	Pteridium aquilinum	VACR	3	0.23847377
Hjelle_a27	Corroded	Indeterminable: corroded	INUN	1	
Hjelle_a27	Sphagnum	Sphagnum	NOPO	6	
