samplename	original_varname	acc_varname	groupid	count	percentage	notes
Hjelle_a34	Abies	Abies	TRSH	1	0.08312552	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Acer	Acer campestre-type	TRSH	14	1.1637573	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hjelle_a34	Alnus	Alnus	TRSH	150	12.468828	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Betula	Betula	TRSH	123	10.224439	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Calluna vulgaris	Calluna vulgaris	TRSH	19	1.5793849	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Hjelle_a34	Corylus avellana	Corylus	TRSH	53	4.4056525	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Fagus	Fagus	TRSH	11	0.91438071	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Fraxinus	Fraxinus	TRSH	11	0.91438071	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Juniperus	Juniperus communis-type	TRSH	18	1.4962594	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hjelle_a34	Myrica gale	Myrica	TRSH	1	0.08312552	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Picea	Picea	TRSH	5	0.4156276	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Pinus sylvestris	Pinus sylvestris-type	TRSH	211	17.539485	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hjelle_a34	Prunus padus	Prunus padus	TRSH	2	0.16625104	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hjelle_a34	Prunus sp.	Prunus-type	TRSH	1	0.08312552	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Quercus	Quercus	TRSH	34	2.8262677	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Rosaceae	Rosaceae	TRSH	4	0.33250208	Inconsistent at the groupID and higher_groupID levels between EPD and NEOTOMA. Going for EPD groupID.
Hjelle_a34	Salix	Salix	TRSH	9	0.74812968	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Sorbus	Sorbus-type	TRSH	8	0.66500416	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Tilia cordata	Tilia cordata-type	TRSH	2	0.16625104	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hjelle_a34	Ulmus	Ulmus/Zelkova	TRSH	2	0.16625104	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Vaccinium type	Vaccinium-type	DWAR	1	0.08312552	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hjelle_a34	Viburnum	Viburnum	TRSH	1	0.08312552	GroupID taken from POLNET. Many taxa matched that acc_varname, consistent at the groupID level.
Hjelle_a34	Anemone type	Anemone nemorosa-type	HERB	2	0.16625104	GroupID taken from POLNET. Only one taxon matched that acc_varname.
Hjelle_a34	Apiaceae	Apiaceae	HERB	6	0.49875312	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Hjelle_a34	Artemisia type	Artemisia	HERB	3	0.24937656	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Hjelle_a34	Asteraceae Cichorioideae	Asteraceae subf. Cichorioideae	HERB	8	0.66500416	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
Hjelle_a34	Brassicaceae	Brassicaceae	HERB	3	0.24937656	GroupID taken from POLNET. Many taxa matched that acc_varname, inconsistent at the groupID level, but all consistent for their higher_groupID.
