samplename	original_varname	acc_varname	groupid	count	percentage
Jahns_d1	Abies	Abies	TRSH	13	0.6993007
Jahns_d1	Alnus	Alnus	TRSH	3	0.16137708
Jahns_d1	Carpinus betulus	Carpinus betulus	TRSH	1	0.053792361
Jahns_d1	Corylus	Corylus	TRSH	3	0.16137708
Jahns_d1	Erica	Erica	DWAR	5	0.26896181
Jahns_d1	Fagus	Fagus	TRSH	2	0.10758472
Jahns_d1	Fraxinus ornus-type	Fraxinus ornus	TRSH	1	0.053792361
Jahns_d1	Juglans	Juglans	TRSH	3	0.16137708
Jahns_d1	Juniperus	Juniperus communis-type	TRSH	3	0.16137708
Jahns_d1	Olea europaea	Olea europaea	TRSH	18	0.96826251
Jahns_d1	Carpinus orientalis/Ostrya	Ostrya/Carpinus orientalis	TRSH	2	0.10758472
Jahns_d1	Pinus	Pinus	TRSH	1200	64.550834
Jahns_d1	Pistacia	Pistacia	TRSH	93	5.0026896
Jahns_d1	Quercus evergreeen	Quercus evergreeen	TRSH	50	2.6896181
Jahns_d1	Quercus deciduous	Quercus robur-type	TRSH	6	0.32275417
Jahns_d1	Rosaceae	Rosaceae	TRSH	1	0.053792361
Jahns_d1	Sarcopoterium-type	Sarcopoterium-type	TRSH	3	0.16137708
Jahns_d1	Aconitum-type	Aconitum-type	HERB	23	1.2372243
Jahns_d1	Artemisia	Artemisia	HERB	2	0.10758472
Jahns_d1	Asteraceae Tubuliflorae	Asteraceae subf. Asteroideae	HERB	97	5.2178591
Jahns_d1	Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB	13	0.6993007
Jahns_d1	Brassicaceae	Brassicaceae	HERB	1	0.053792361
Jahns_d1	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	2	0.10758472
Jahns_d1	Cerealia-type	Cerealia-type	HERB	17	0.91447015
Jahns_d1	Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	100	5.3792361
Jahns_d1	Cistaceae	Cistaceae	HERB	2	0.10758472
Jahns_d1	Cyperaceae	Cyperaceae	HERB	2	0.10758472
Jahns_d1	Dipsacaceae	Dipsacaceae	HERB	2	0.10758472
Jahns_d1	Geranium	Geranium	HERB	1	0.053792361
Jahns_d1	Heliotropium-type	Heliotropium-type	HERB	7	0.37654653
Jahns_d1	Liliaceae	Liliaceae-type	HERB	1	0.053792361
Jahns_d1	Mercurialis annua	Mercurialis annua	HERB	2	0.10758472
Jahns_d1	Plantago lanceolata-type	Plantago lanceolata-type	HERB	15	0.80688542
Jahns_d1	Plantago major/P. media	Plantago major/P. media	HERB	2	0.10758472
Jahns_d1	Plantago p.p.	Plantago p.p.	HERB	1	0.053792361
Jahns_d1	Poaceae	Poaceae	HERB	147	7.9074771
Jahns_d1	Ranunculus acris-type	Ranunculus acris-type	HERB	1	0.053792361
Jahns_d1	Rumex	Rumex/Oxyria	HERB	3	0.16137708
Jahns_d1	Xanthium	Xanthium	HERB	1	0.053792361
Jahns_d1	Botrychium	Botrychium	VACR	6	0.32275417
Jahns_d1	Filicinae	Monolete fern spores	VACR	4	0.21516945
Jahns_d1	Varia	Indeterminable: unknown	INUN	1	
