samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Jahns_e1	560	433	321	Abies	Abies	TRSH
Jahns_e1	5	1	5	Alnus	Alnus	TRSH
Jahns_e1	1337	19	25	Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB
Jahns_e1	1927	1	160	Asteraceae Tubuliflorae	Asteraceae subf. Asteroideae	HERB
Jahns_e1	3673	31	18	Caryophyllaceae pro parte	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
Jahns_e1	1941	2	146	Filicinae	Monolete fern spores	VACR
Jahns_e1	44	4	44	Fraxinus ornus	Fraxinus ornus	TRSH
Jahns_e1	949	1	258	Hordeum-type	Hordeum-type	HERB
Jahns_e1	57	1	57	Juglans	Juglans	TRSH
Jahns_e1	442	9	68	Olea	Olea europaea	TRSH
Jahns_e1	74	4	74	Phillyrea	Phillyrea	TRSH
Jahns_e1	75	48	75	Pinus	Pinus	TRSH
Jahns_e1	77	1	77	Pistacia	Pistacia	TRSH
Jahns_e1	437	10	86	Quercus deciduous	Quercus robur-type	TRSH
Jahns_e1	427	17	85	Quercus evergreen	Quercus ilex-type	TRSH
Jahns_e1	1233	1	1199	Triticum-type	Triticum-type	HERB
Jahns_e1	1098	1	177	Varia	Indeterminable: unknown	INUN
Jahns_e1	80	9	80	Poaceae	Poaceae	HERB
Jahns_e1	630	1	87	Ranunculus acris-type	Ranunculus acris-type	HERB
Jahns_e1	3868	1	3868	Cyperaceae	Cyperaceae	AQUA
Jahns_e1	3927	5	3927	Erica	Erica	DWAR
