	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Jahns_f7	4	4	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.68610635
1	Jahns_f7	554	1	554	Ceratonia	Ceratonia siliqua	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.17152659
2	Jahns_f7	766	1	766	Cornus	Cornus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.17152659
3	Jahns_f7	9	1	9	Corylus	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.17152659
4	Jahns_f7	66	5	66	Erica	Erica	DWAR	Dwarf shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.85763293
5	Jahns_f7	12	1	12	Fagus	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.17152659
6	Jahns_f7	72	2	72	Fraxinus ornus	Fraxinus ornus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.34305317
7	Jahns_f7	521	2	521	Myrtus	Myrtus communis	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.34305317
8	Jahns_f7	455	8	95	Olea	Olea europaea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	1.3722127
9	Jahns_f7	101	61	101	Phillyrea	Phillyrea	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	10.463122
10	Jahns_f7	19	9	19	Pinus	Pinus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	1.5437393
11	Jahns_f7	103	2	103	Pistacia	Pistacia	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.34305317
12	Jahns_f7	3983	31	3983	Quercus evergreeen	Quercus evergreeen	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	5.3173242
13	Jahns_f7	3985	2	3985	Quercus p.p.	Quercus p.p.	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.34305317
14	Jahns_f7	21	75	21	Quercus deciduous	Quercus robur-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	12.864494
15	Jahns_f7	115	7	115	Rhamnus	Rhamnus-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	1.2006861
16	Jahns_f7	118	5	118	Rosaceae	Rosaceae	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.85763293
17	Jahns_f7	25	1	25	Salix	Salix	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	583	0.17152659
18	Jahns_f7	3073	4	3073	Agrostemma	Agrostemma	HERB	Herbs	HERB	True	True	Herbs	5	583	0.68610635
19	Jahns_f7	36	18	36	Apiaceae	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	583	3.0874786
20	Jahns_f7	37	4	37	Artemisia	Artemisia	HERB	Herbs	HERB	True	True	Herbs	5	583	0.68610635
21	Jahns_f7	608	22	41	Aster-type	Aster-type	HERB	Herbs	HERB	True	True	Herbs	5	583	3.7735849
22	Jahns_f7	1936	79	180	Asteraceae Tubuliflorae	Asteraceae subf. Asteroideae	HERB	Herbs	HERB	True	True	Herbs	5	583	13.5506
23	Jahns_f7	1347	131	53	Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	583	22.469983
24	Jahns_f7	42	21	42	Brassicaceae	Brassicaceae	HERB	Herbs	HERB	True	True	Herbs	5	583	3.6020583
25	Jahns_f7	46	9	46	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	Herbs	HERB	True	True	Herbs	5	583	1.5437393
26	Jahns_f7	3245	8	3245	Centaurea solstitialis-type	Centaurea solstitialis-type	HERB	Herbs	HERB	True	True	Herbs	5	583	1.3722127
27	Jahns_f7	1075	1	50	Cerealia-type	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
28	Jahns_f7	52	6	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	583	1.0291595
29	Jahns_f7	61	4	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	583	0.68610635
30	Jahns_f7	784	3	784	Euphorbiaceae	Euphorbiaceae	HERB	Herbs	HERB	True	True	Herbs	5	583	0.51457976
31	Jahns_f7	3519	1	3519	Fallopia convolvulus	Fallopia convolvulus	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
32	Jahns_f7	510	3	510	Geranium	Geranium	HERB	Herbs	HERB	True	True	Herbs	5	583	0.51457976
33	Jahns_f7	1267	1	1267	Knautia	Knautia	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
34	Jahns_f7	86	1	86	Lamiaceae	Lamiaceae	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
35	Jahns_f7	89	3	89	Liliaceae	Liliaceae-type	HERB	Herbs	HERB	True	True	Herbs	5	583	0.51457976
36	Jahns_f7	90	2	90	Lythrum	Lythrum	HERB	Herbs	HERB	True	True	Herbs	5	583	0.34305317
37	Jahns_f7	243	1	243	Mercurialis	Mercurialis	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
38	Jahns_f7	1085	4	87	Plantago lanceolata-type	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	583	0.68610635
39	Jahns_f7	106	19	106	Poaceae	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	583	3.2590051
40	Jahns_f7	119	12	119	Rubiaceae	Rubiaceae	HERB	Herbs	HERB	True	True	Herbs	5	583	2.058319
41	Jahns_f7	738	1	120	Rumex	Rumex/Oxyria	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
42	Jahns_f7	193	1	193	Scrophulariaceae	Scrophulariaceae (colporate-reticulate)	HERB	Herbs	HERB	True	True	Herbs	5	583	0.17152659
43	Jahns_f7	140	5	140	Trifolium	Trifolium-type	HERB	Herbs	HERB	True	True	Herbs	5	583	0.85763293
44	Jahns_f7	1950	1	167	Filicinae	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	583	0.17152659
45	Jahns_f7	3513	19	3513	Fabaceae p.p.	Fabaceae p.p.	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	583	
46	Jahns_f7	1108	51	197	Varia	Indeterminable: unknown	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	583	
