samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Jahns_h5	560	24	321	Abies	Abies	TRSH
Jahns_h5	6	1	6	Apiaceae	Apiaceae	HERB
Jahns_h5	1631	1	327	Arbutus	Arbutus	TRSH
Jahns_h5	7	1	7	Artemisia	Artemisia	HERB
Jahns_h5	9	2	9	Asphodelus	Asphodelus	HERB
Jahns_h5	1337	175	25	Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB
Jahns_h5	1927	11	160	Asteraceae Tubuliflorae	Asteraceae subf. Asteroideae	HERB
Jahns_h5	3697	1	22	Cerealia pro parte	Cerealia-type	HERB
Jahns_h5	24	3	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Jahns_h5	3799	3	3797	Cistus incanus-type	Cistus albidus-type	HERB
Jahns_h5	3804	1	27	Cistus pro parte	Cistus	TRSH
Jahns_h5	201	1	31	Corylus	Corylus	TRSH
Jahns_h5	3868	1	3868	Cyperaceae	Cyperaceae	AQUA
Jahns_h5	164	2	164	Dipsacaceae	Dipsacaceae	HERB
Jahns_h5	3927	3	3927	Erica	Erica	DWAR
Jahns_h5	522	1	522	Erodium	Erodium	HERB
Jahns_h5	773	2	773	Euphorbiaceae	Euphorbiaceae	HERB
Jahns_h5	3959	1	3958	Fabaceae pro parte	Fabaceae	INUN
Jahns_h5	1941	3369	146	Filicinae	Monolete fern spores	VACR
Jahns_h5	52	1	52	Helianthemum	Helianthemum	HERB
Jahns_h5	949	2	258	Hordeum-type	Hordeum-type	HERB
Jahns_h5	58	3	58	Juniperus	Juniperus communis-type	TRSH
Jahns_h5	1488	2	372	Malvaceae	Malvaceae	HERB
Jahns_h5	66	4	66	Mercurialis annua	Mercurialis annua	HERB
Jahns_h5	442	262	68	Olea	Olea europaea	TRSH
Jahns_h5	75	196	75	Pinus	Pinus	TRSH
Jahns_h5	80	29	80	Poaceae	Poaceae	HERB
Jahns_h5	537	1	170	Polygala	Polygala	HERB
Jahns_h5	427	4	85	Quercus evergreen	Quercus ilex-type	TRSH
Jahns_h5	93	1	93	Rubiaceae	Rubiaceae	HERB
Jahns_h5	4549	9	101	Sarcopoterium spinosum/Sanguisorba minor	Sanguisorba minor-type	HERB
Jahns_h5	120	1	120	Viburnum	Viburnum	TRSH
Jahns_h5	4756	1	4756	Vitis	Vitis	LIAN
Jahns_h5	1044	1	1044	Xanthium	Xanthium	HERB
Jahns_h5	59	2	59	Lamiaceae	Lamiaceae	HERB
Jahns_h5	3673	2	18	Caryophyllaceae pro parte	Caryophyllaceae (periporate excl. Paronychioideae)	HERB
