samplename	original_varname	acc_varname	groupid	count	percentage
Jahns_i4	Cistus p.p.	Cistus	TRSH	6	0.67
Jahns_i4	Cistus incanus type	Cistus albidus-type	TRSH	1	0.11
Jahns_i4	Cistus monspeliensis	Cistus monspeliensis-type	TRSH	2	0.22
Jahns_i4	Ephedra fragilis type	Ephedra fragilis-type	TRSH	3	0.33
Jahns_i4	Erica	Erica	TRSH	1	0.11
Jahns_i4	Jasminum	Jasminum	TRSH	1	0.11
Jahns_i4	Juniperus	Juniperus-type	TRSH	5	0.55
Jahns_i4	Olea	Olea europaea	TRSH	35	3.88
Jahns_i4	Carpinus orientalis/Ostrya	Ostrya/Carpinus orientalis	TRSH	3	0.33
Jahns_i4	Phillyrea	Phillyrea	TRSH	2	0.22
Jahns_i4	Pinus	Pinus	TRSH	110	12.21
Jahns_i4	Pistacia	Pistacia	TRSH	337	37.4
Jahns_i4	Quercus evergreen	Quercus ilex-type	TRSH	5	0.55
Jahns_i4	Rosaceae	Rosaceae	TRSH	2	0.22
Jahns_i4	Ulmus	Ulmus/Zelkova	TRSH	1	0.11
Jahns_i4	Vitis	Vitis	TRSH	2	0.22
Jahns_i4	Apiaceae	Apiaceae	HERB	10	1.11
Jahns_i4	Artemisia	Artemisia	HERB	1	0.11
Jahns_i4	Asteraceae Tubuliflorae	Asteraceae subf. Asteroideae	HERB	57	6.33
Jahns_i4	Asteraceae Liguliflorae	Asteraceae subf. Cichorioideae	HERB	113	12.54
Jahns_i4	Avena type	Avena-type	HERB	1	0.11
Jahns_i4	Brassicaceae	Brassicaceae	HERB	35	3.88
Jahns_i4	Caryophyllaceae	Caryophyllaceae (periporate excl. Paronychioideae)	HERB	4	0.44
Jahns_i4	Cerealia p.p.	Cerealia-type	HERB	1	0.11
Jahns_i4	Chenopodiaceae/Amaranthaceae	Chenopodiaceae/Amaranthaceae	HERB	1	0.11
Jahns_i4	Convolvulus arvensis	Convolvulus arvensis-type	HERB	9	1
Jahns_i4	Cyperaceae	Cyperaceae	HERB	1	0.11
Jahns_i4	Euphorbiaceae	Euphorbiaceae	HERB	2	0.22
Jahns_i4	Fabaceae p.p.	Fabaceae	HERB	15	1.66
Jahns_i4	Filipendula	Filipendula	HERB	2	0.22
Jahns_i4	Glaucium type	Glaucium	HERB	3	0.33
Jahns_i4	Hordeum type	Hordeum-type	HERB	1	0.11
Jahns_i4	Mercurialis annua	Mercurialis annua	HERB	14	1.55
Jahns_i4	Plantago coronopus type	Plantago coronopus-type	HERB	1	0.11
Jahns_i4	Plantago lanceolata type	Plantago lanceolata-type	HERB	3	0.33
Jahns_i4	Plantago major type	Plantago major	HERB	1	0.11
Jahns_i4	Poaceae	Poaceae	HERB	41	4.55
Jahns_i4	Ranunculaceae p.p.	Ranunculaceae	HERB	47	5.22
Jahns_i4	Rumex	Rumex/Oxyria	HERB	7	0.78
Jahns_i4	Sarcopoterium/Sanguisorba minor	Sanguisorba minor-type	HERB	1	0.11
Jahns_i4	Filicinae	Monolete fern spores	VACR	3	0.33
Jahns_i4	Polypodium	Polypodium	VACR	1	0.11
Jahns_i4	trilete psilate Sporen	Trilete spore(s)	VACR	2	0.22
Jahns_i4	Trilete verrucate Sporen	Trilete spore(s)	VACR	8	0.89
