	samplename	var_	count	acc_var_	original_varname	acc_varname	groupid	groupname	higher_groupid	included_in_percent_sum	make_percent	higher_groupname	group_order	sums	percentage
0	Karpinska_c1	4	31	4	Alnus	Alnus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	7.6732673
1	Karpinska_c1	5	46	5	Betula	Betula	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	11.386139
2	Karpinska_c1	470	1	470	Calluna vulgaris	Calluna vulgaris	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	0.24752475
3	Karpinska_c1	574	4	7	Carpinus betulus	Carpinus betulus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	0.99009901
4	Karpinska_c1	59	3	9	Corylus avellana	Corylus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	0.74257426
5	Karpinska_c1	70	5	12	Fagus sylvatica	Fagus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	1.2376238
6	Karpinska_c1	75	2	75	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	0.4950495
7	Karpinska_c1	794	9	794	Picea abies	Picea abies-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	2.2277228
8	Karpinska_c1	1236	111	148	Pinus sylvestris-type	Pinus sylvestris-type	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	27.475248
9	Karpinska_c1	208	5	208	Quercus	Quercus	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	1.2376238
10	Karpinska_c1	4088	9	4088	Salix undifferentiated	Salix undifferentiated	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	2.2277228
11	Karpinska_c1	31	2	31	Ulmus	Ulmus/Zelkova	TRSH	Trees & Shrubs	TRSH	True	True	Trees & Shrubs	0	404	0.4950495
12	Karpinska_c1	3087	3	3087	Ambrosia artemisiifolia-type	Ambrosia artemisiifolia-type	HERB	Herbs	HERB	True	True	Herbs	5	404	0.74257426
13	Karpinska_c1	2964	3	36	Apiaceae undifferentiated	Apiaceae	HERB	Herbs	HERB	True	True	Herbs	5	404	0.74257426
14	Karpinska_c1	1393	1	352	Cirsium/Carduus	Asteraceae subf. Carduoideae	HERB	Herbs	HERB	True	True	Herbs	5	404	0.24752475
15	Karpinska_c1	460	15	53	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	Herbs	HERB	True	True	Herbs	5	404	3.7128713
16	Karpinska_c1	3151	14	3151	Asteroideae undifferentiated	Asteroideae undifferentiated	HERB	Herbs	HERB	True	True	Herbs	5	404	3.4653465
17	Karpinska_c1	3196	4	3196	Brassicaceae undifferentiated	Brassicaceae undifferentiated	HERB	Herbs	HERB	True	True	Herbs	5	404	0.99009901
18	Karpinska_c1	832	2	475	Centaurea cyanus	Centaurea cyanus-type	HERB	Herbs	HERB	True	True	Herbs	5	404	0.4950495
19	Karpinska_c1	1072	5	57	Centaurea jacea-type	Centaurea nigra-type	HERB	Herbs	HERB	True	True	Herbs	5	404	1.2376238
20	Karpinska_c1	1075	1	50	Cerealia-type	Cerealia-type	HERB	Herbs	HERB	True	True	Herbs	5	404	0.24752475
21	Karpinska_c1	52	2	52	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	Herbs	HERB	True	True	Herbs	5	404	0.4950495
22	Karpinska_c1	61	29	61	Cyperaceae	Cyperaceae	HERB	Herbs	HERB	True	True	Herbs	5	404	7.1782178
23	Karpinska_c1	73	1	73	Filipendula	Filipendula	HERB	Herbs	HERB	True	True	Herbs	5	404	0.24752475
24	Karpinska_c1	3548	1	3548	Galium-type	Galium-type	HERB	Herbs	HERB	True	True	Herbs	5	404	0.24752475
25	Karpinska_c1	90	2	90	Lythrum	Lythrum	HERB	Herbs	HERB	True	True	Herbs	5	404	0.4950495
26	Karpinska_c1	1083	1	92	Mentha-type	Mentha-type	HERB	Herbs	HERB	True	True	Herbs	5	404	0.24752475
27	Karpinska_c1	87	14	87	Plantago lanceolata	Plantago lanceolata-type	HERB	Herbs	HERB	True	True	Herbs	5	404	3.4653465
28	Karpinska_c1	2928	63	106	Poaceae undifferentiated	Poaceae	HERB	Herbs	HERB	True	True	Herbs	5	404	15.594059
29	Karpinska_c1	736	1	278	Polygonum aviculare	Polygonum aviculare-type	HERB	Herbs	HERB	True	True	Herbs	5	404	0.24752475
30	Karpinska_c1	641	3	113	Ranunculus acris-type	Ranunculus acris-type	HERB	Herbs	HERB	True	True	Herbs	5	404	0.74257426
31	Karpinska_c1	4060	1	4060	Rumex acetosa-type/R. acetosella-type	Rumex acetosa-type/R. acetosella-type	HERB	Herbs	HERB	True	True	Herbs	5	404	0.24752475
32	Karpinska_c1	1204	1	1204	Solanum dulcamara	Solanum dulcamara	HERB	Herbs	HERB	True	True	Herbs	5	404	0.24752475
33	Karpinska_c1	1293	1	139	Trifolium pratense-type	Trifolium pratense-type	HERB	Herbs	HERB	True	True	Herbs	5	404	0.24752475
34	Karpinska_c1	1795	4	141	Trifolium repens-type	Trifolium repens-type	HERB	Herbs	HERB	True	True	Herbs	5	404	0.99009901
35	Karpinska_c1	1388	2	1388	Anthoceros	Anthoceros/Phaeoceros	BRYO	Bryophytes	VACR	True	True	Ferns	6	404	0.4950495
36	Karpinska_c1	3747	2	167	Monolete fern spores	Monolete fern spores	VACR	Vascular cryptogams (Pteridophytes)	VACR	True	True	Ferns	6	404	0.4950495
37	Karpinska_c1	3627	3	1334	Indeterminable: corroded	Indeterminable: corroded	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	404	
38	Karpinska_c1	729	1	729	Indeterminable: degraded	Indeterminable: degraded	INUN	Indeterminables and unknowns	INUN	False	False	Indeterminables and unknowns	16	404	
39	Karpinska_c1	571	134	571	Lycopodium (counted)	Lycopodium (counted)	NOPO	Nonpollen	NOPO	False	False	Nonpollen	30	404	
