samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Karpinska_c36	759	3	321	Abies alba	Abies	TRSH
Karpinska_c36	589	9	3	Anthemis-type	Matricaria-type	HERB
Karpinska_c36	1378	6	1378	Anthoceros	Anthoceros/Phaeoceros	BRYO
Karpinska_c36	1107	8	6	Apiaceae undiff.	Apiaceae	HERB
Karpinska_c36	7	1	7	Artemisia	Artemisia	HERB
Karpinska_c36	597	2	11	Aster-type	Aster-type	HERB
Karpinska_c36	12	78	12	Betula	Betula	TRSH
Karpinska_c36	962	1	962	Botrychium	Botrychium	VACR
Karpinska_c36	1422	2	13	Brassicaceae undiff.	Brassicaceae	HERB
Karpinska_c36	821	1	462	Centaurea cyanus	Centaurea cyanus-type	HERB
Karpinska_c36	1065	23	22	Cerealia-type	Cerealia-type	HERB
Karpinska_c36	3773	69	3773	Charcoal	Charcoal	MACR
Karpinska_c36	24	4	24	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB
Karpinska_c36	447	133	25	Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Karpinska_c36	31	15	31	Corylus avellana	Corylus	TRSH
Karpinska_c36	3865	1	3865	Cuscuta europaea-type	Cuscuta europaea-type	LIAN
Karpinska_c36	3868	4	3868	Cyperaceae	Cyperaceae	AQUA
Karpinska_c36	47	4	47	Fraxinus excelsior	Fraxinus excelsior-type	TRSH
Karpinska_c36	605	2	93	Galium-type	Rubiaceae	HERB
Karpinska_c36	4074	28	1324	Indeterminable: corroded	Indeterminable: corroded	INUN
Karpinska_c36	718	1	718	Indeterminable: degraded	Indeterminable: degraded	INUN
Karpinska_c36	123	1	123	Larix	Larix/Pseudotsuga	TRSH
Karpinska_c36	559	125	559	Lycopodium (counted)	Lycopodium (counted)	NOPO
Karpinska_c36	1071	36	871	Lysimachia vulgaris-type	Lysimachia vulgaris-type	HERB
Karpinska_c36	4278	1	1214	Phaeoceros laevis	Phaeoceros laevis-type	BRYO
Karpinska_c36	4284	14	4284	Phragmites	Phragmites australis-type	AQUA
Karpinska_c36	783	12	783	Picea abies	Picea abies-type	TRSH
Karpinska_c36	1226	123	125	Pinus sylvestris-type	Pinus sylvestris-type	TRSH
Karpinska_c36	79	3	79	Plantago major	Plantago major	HERB
Karpinska_c36	429	360	80	Poaceae undiff.	Poaceae	HERB
Karpinska_c36	189	2	189	Quercus	Quercus	TRSH
Karpinska_c36	630	10	87	Ranunculus acris-type	Ranunculus acris-type	HERB
Karpinska_c36	1414	1	632	Rosa-type	Rosa	TRSH
Karpinska_c36	4504	7	95	Rumex acetosa-type/R. acetosella-type	Rumex acetosa-type	HERB
Karpinska_c36	1400	8	99	Salix undiff.	Salix	TRSH
Karpinska_c36	1354	1	583	Sambucus nigra-type	Sambucus nigra/S. racemosa	TRSH
Karpinska_c36	256	2	256	Secale cereale	Secale cereale	HERB
Karpinska_c36	3006	1	490	Sorbus-group	Rosaceae (non-operculate)	TRSH
Karpinska_c36	153	1	153	Tilia cordata-type	Tilia cordata-type	TRSH
Karpinska_c36	1283	4	114	Trifolium pratense-type	Trifolium pratense-type	HERB
Karpinska_c36	1098	7	177	Varia	Indeterminable: unknown	INUN
Karpinska_c36	5	46	5	Alnus	Alnus	TRSH
Karpinska_c36	42	14	42	Fagus sylvatica	Fagus	TRSH
Karpinska_c36	60	197	60	Plantago lanceolata	Plantago lanceolata-type	HERB
Karpinska_c36	110	1	110	Symphytum	Symphytum	HERB
Karpinska_c36	563	8	16	Carpinus betulus	Carpinus betulus	TRSH
Karpinska_c36	631	1	631	Rhinanthus-type	Rhinanthus-type	HERB
Karpinska_c36	652	2	652	Urtica	Urtica	HERB
Karpinska_c36	947	3	21	Cerastium-type	Cerastium-type	HERB
Karpinska_c36	1180	1	135	Ranunculaceae undiff.	Ranunculaceae	HERB
Karpinska_c36	1220	1	829	Hypericum perforatum-type	Hypericum perforatum-type	HERB
Karpinska_c36	1786	3	116	Trifolium repens-type	Trifolium repens-type	HERB
Karpinska_c36	4193	4	146	Monolete fern spores	Monolete fern spores	VACR
