samplename	original_varname	acc_varname	groupid	count	percentage
Karpinska_c5	Abies alba	Abies	TRSH	1	0.09
Karpinska_c5	Acer	Acer campestre-type	TRSH	1	0.09
Karpinska_c5	Alnus	Alnus	TRSH	40	3.57
Karpinska_c5	Betula	Betula	TRSH	78	6.95
Karpinska_c5	Carpinus betulus	Carpinus betulus	TRSH	16	1.43
Karpinska_c5	Corylus avellana	Corylus	TRSH	4	0.36
Karpinska_c5	Fagus sylvatica	Fagus	TRSH	7	0.62
Karpinska_c5	Fraxinus excelsior	Fraxinus excelsior-type	TRSH	6	0.53
Karpinska_c5	Picea abies	Picea abies-type	TRSH	14	1.25
Karpinska_c5	Pinus sylvestris-type	Pinus sylvestris-type	TRSH	103	9.18
Karpinska_c5	Prunus padus	Prunus padus	TRSH	1	0.09
Karpinska_c5	Rosaceae undiff.	Rosaceae	TRSH	1	0.09
Karpinska_c5	Salix undiff.	Salix	TRSH	24	2.14
Karpinska_c5	Ulmus	Ulmus/Zelkova	TRSH	1	0.09
Karpinska_c5	Cuscuta europaea-type	Cuscuta europaea-type	LIAN	2	0.18
Karpinska_c5	Apiaceae undiff.	Apiaceae	HERB	6	0.53
Karpinska_c5	Asteroideae undiff.	Asteraceae subf. Asteroideae	HERB	6	0.53
Karpinska_c5	Cichorioideae	Asteraceae subf. Cichorioideae	HERB	61	5.44
Karpinska_c5	Brassicaceae undiff.	Brassicaceae	HERB	2	0.18
Karpinska_c5	Centaurea cyanus	Centaurea cyanus-type	HERB	3	0.27
Karpinska_c5	Cerastium-type	Cerastium-type	HERB	4	0.36
Karpinska_c5	Cerealia-type	Cerealia-type	HERB	19	1.69
Karpinska_c5	Chenopodiaceae	Chenopodiaceae/Amaranthaceae	HERB	7	0.62
Karpinska_c5	Fallopia convolvulus-type	Fallopia	HERB	1	0.09
Karpinska_c5	Filipendula	Filipendula	HERB	5	0.45
Karpinska_c5	Plantago lanceolata	Plantago lanceolata-type	HERB	126	11.23
Karpinska_c5	Poaceae undiff.	Poaceae	HERB	446	39.75
Karpinska_c5	Ranunculus acris-type	Ranunculus acris-type	HERB	58	5.17
Karpinska_c5	Galium-type	Rubiaceae	HERB	2	0.18
Karpinska_c5	Rumex acetosa-type/R. acetosella-type	Rumex acetosa-type	HERB	48	4.28
Karpinska_c5	Sanguisorba officinalis	Sanguisorba officinalis	HERB	1	0.09
Karpinska_c5	Secale cereale	Secale cereale	HERB	2	0.18
Karpinska_c5	Silene-type	Silene-type	HERB	1	0.09
Karpinska_c5	Trifolium repens-type	Trifolium repens-type	HERB	7	0.62
Karpinska_c5	Anthoceros	Anthoceros/Phaeoceros	BRYO	8	0.71
Karpinska_c5	Monolete fern spores	Monolete fern spores	VACR	7	0.62
Karpinska_c5	Phaeoceros laevis	Phaeoceros laevis-type	BRYO	3	0.27
Karpinska_c5	Cyperaceae	Cyperaceae	AQUA	1	0.09
Karpinska_c5	Phragmites	Phragmites australis-type	AQUA	55	4.9
Karpinska_c5	Indeterminable: corroded	Indeterminable: corroded	INUN	12	
Karpinska_c5	Indeterminable: degraded	Indeterminable: degraded	INUN	4	
Karpinska_c5	Varia	Indeterminable: unknown	INUN	9	
Karpinska_c5	Charcoal	Charcoal	MACR	6	
Karpinska_c5	Lycopodium (counted)	Lycopodium (counted)	NOPO	138	
