samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Klemm_a38	2892	2	75	Pinus undifferentiated	Pinus	TRSH
Klemm_a38	2893	9	125	Pinus subgen. Diploxylon	Pinus sylvestris-type	TRSH
Klemm_a38	126	1	126	Picea	Picea	TRSH
Klemm_a38	123	17	123	Larix	Larix/Pseudotsuga	TRSH
Klemm_a38	2895	3	5	Alnus undifferentiated	Alnus	TRSH
Klemm_a38	2896	45	129	Alnus viridis subsp. fruticosa-type	Alnus viridis	TRSH
Klemm_a38	99	20	99	Salix	Salix	TRSH
Klemm_a38	7	11	7	Artemisia	Artemisia	HERB
Klemm_a38	2897	6	130	Ericaceae undifferentiated	Ericales (tetrad)	DWAR
Klemm_a38	134	3	134	Asteraceae	Asteraceae	HERB
Klemm_a38	33	118	33	Cyperaceae	Cyperaceae	HERB
Klemm_a38	80	113	80	Poaceae	Poaceae	HERB
Klemm_a38	1604	4	1505	Polygonum	Polygonum-type (tricolporate)	HERB
Klemm_a38	135	4	135	Ranunculaceae	Ranunculaceae	HERB
Klemm_a38	92	4	92	Rosaceae	Rosaceae	TRSH
Klemm_a38	727	3	94	Rumex	Rumex/Oxyria	HERB
Klemm_a38	112	1	112	Thalictrum	Thalictrum	HERB
Klemm_a38	491	2	491	Saxifraga	Saxifraga	HERB
Klemm_a38	2900	6	177	Pollen indeterminata	Indeterminable: unknown	INUN
Klemm_a38	2901	507	177	Pollen total	Indeterminable: unknown	INUN
Klemm_a38	493	6	493	Valeriana	Valeriana	HERB
Klemm_a38	2105	125	127	Betula nana-type	Betula nana-type	DWAR
Klemm_a38	2115	4	128	Betula pubescens-type	Betula pubescens-type	TRSH
