samplename	var_	count	acc_var_	original_varname	acc_varname	groupid
Knaap_a38	560	6	321	Abies	Abies	TRSH
Knaap_a38	943	2	3	Achillea-type	Matricaria-type	HERB
Knaap_a38	155	8	155	Alnus glutinosa-type	Alnus glutinosa-type	TRSH
Knaap_a38	561	71	129	Alnus viridis	Alnus viridis	TRSH
Knaap_a38	566	1	566	Arctostaphylos	Arctostaphylos	DWAR
Knaap_a38	7	8	7	Artemisia	Artemisia	HERB
Knaap_a38	597	2	11	Aster-type	Aster-type	HERB
Knaap_a38	3606	1	631	Bartsia-type	Rhinanthus-type	HERB
Knaap_a38	12	35	12	Betula	Betula	TRSH
Knaap_a38	3646	1	3645	Calluna vulgaris	Calluna vulgaris	DWAR
Knaap_a38	602	4	483	Campanula	Phyteuma-type	HERB
Knaap_a38	3654	2	764	Cannabis sativa	Cannabis sativa	HERB
Knaap_a38	563	1	16	Carpinus betulus	Carpinus betulus	TRSH
Knaap_a38	19	26	19	Castanea sativa	Castanea sativa	TRSH
Knaap_a38	22	1	22	Cerealia	Cerealia-type	HERB
Knaap_a38	3824	29	25	Compositae subf. Cichorioideae	Asteraceae subf. Cichorioideae	HERB
Knaap_a38	3854	11	3854	Counted exote	Counted exote	NOPO
Knaap_a38	2595	1	220	Dryopteris filix-mas-type	Dryopteris filix-mas-type	VACR
Knaap_a38	192	7	42	Fagus	Fagus	TRSH
Knaap_a38	47	12	47	Fraxinus excelsior	Fraxinus excelsior-type	TRSH
Knaap_a38	1783	1	49	Genista-type	Genista-type	TRSH
Knaap_a38	1601	880	80	Gramineae	Poaceae	HERB
Knaap_a38	4023	1	1320	Gymnocarpium	Gymnocarpium dryopteris	VACR
Knaap_a38	826	1	479	Hippophae rhamnoides	Hippophae rhamnoides	TRSH
Knaap_a38	964	1	184	Huperzia selago	Huperzia selago	VACR
Knaap_a38	58	45	58	Juniperus	Juniperus communis-type	TRSH
Knaap_a38	123	20	123	Larix	Larix/Pseudotsuga	TRSH
Knaap_a38	4127	2	4127	Ligusticum mutellina	Ligusticum mutellina	HERB
Knaap_a38	2111	18583	1293	Lycopodium (grains/tablet)	Lycopodium (spores/tablet)	NOPO
Knaap_a38	4163	2	1295	Lycopodium tablets (number)	Lycopodium tablets (number)	NOPO
Knaap_a38	4193	8	146	Monolete fern spores	Monolete fern spores	VACR
Knaap_a38	442	11	68	Olea	Olea europaea	TRSH
Knaap_a38	572	7	70	Ostrya-type	Ostrya/Carpinus orientalis	TRSH
Knaap_a38	573	61	124	Pinus cembra	Pinus cembra-type	TRSH
Knaap_a38	4307	46	125	Pinus subg. Pinus	Pinus sylvestris-type	TRSH
Knaap_a38	2577	3	64	Plantago alpina-type	Plantago maritima-type	HERB
Knaap_a38	1075	6	60	Plantago lanceolata-type	Plantago lanceolata-type	HERB
Knaap_a38	626	3	512	Potentilla-type	Potentilla-type	HERB
Knaap_a38	180	4	180	Pteridium aquilinum	Pteridium aquilinum	VACR
Knaap_a38	189	14	189	Quercus	Quercus	TRSH
Knaap_a38	480	6	480	Rhododendron	Rhododendron	TRSH
Knaap_a38	93	1	93	Rubiaceae	Rubiaceae	HERB
Knaap_a38	634	8	95	Rumex acetosa-type	Rumex acetosa-type	HERB
Knaap_a38	1402	1	1402	Saxifraga granulata-type	Saxifraga granulata-type	HERB
Knaap_a38	133	2	133	Senecio	Senecio-type	HERB
Knaap_a38	958	1	106	Silene dioica-type	Silene dioica-type	HERB
Knaap_a38	1231	1	1231	Silene vulgaris-type	Silene vulgaris-type	HERB
Knaap_a38	677	6	557	Sporormiella	Sporormiella-type	FUNG
Knaap_a38	652	15	652	Urtica	Urtica	HERB
Knaap_a38	4725	21	4725	Vaccinium	Vaccinium	DWAR
Knaap_a38	31	13	31	Corylus avellana	Corylus	TRSH
Knaap_a38	44	1	44	Fraxinus ornus	Fraxinus ornus	TRSH
Knaap_a38	57	1	57	Juglans	Juglans	TRSH
Knaap_a38	100	1	100	Sambucus nigra	Sambucus nigra	TRSH
Knaap_a38	126	48	126	Picea	Picea	TRSH
Knaap_a38	187	1	187	Tilia	Tilia	TRSH
Knaap_a38	473	7	473	Melampyrum	Melampyrum	HERB
Knaap_a38	965	1	183	Lycopodium annotinum	Lycopodium annotinum-type	VACR
Knaap_a38	2558	3	24	Chenopodiaceae-type	Chenopodiaceae/Amaranthaceae	HERB
Knaap_a38	3666	1	3666	Carlina	Carlina	HERB
Knaap_a38	3868	36	3868	Cyperaceae	Cyperaceae	AQUA
Knaap_a38	4508	5	4508	Rumex alpinus	Rumex alpinus-type	HERB
